Date,Close,Open,High,Low
Feb-07-2006,5672.92,5680.01,5699.35,5630.11
Feb-08-2006,5666.41,5627.75,5675.56,5598.05
Feb-09-2006,5743.68,5694.46,5743.68,5694.46
Feb-10-2006,5701.47,5730.09,5745.49,5696.02
Feb-13-2006,5756.33,5699.44,5756.33,5683.88
Feb-14-2006,5763.40,5759.66,5786.69,5717.44
Feb-15-2006,5764.37,5766.60,5790.27,5744.96
Feb-16-2006,5789.25,5786.16,5796.79,5757.25
Feb-17-2006,5795.48,5784.64,5812.69,5773.52
Feb-20-2006,5793.95,5795.68,5802.72,5766.99
Feb-21-2006,5801.04,5798.89,5850.47,5780.99
Feb-22-2006,5862.06,5793.46,5862.06,5783.35
Feb-23-2006,5857.88,5868.12,5884.22,5820.35
Feb-24-2006,5870.79,5856.73,5873.10,5840.60
Feb-27-2006,5915.15,5888.81,5915.93,5871.75
Feb-28-2006,5796.04,5908.58,5916.80,5791.90
Mar-01-2006,5866.61,5806.96,5867.59,5796.41
Mar-02-2006,5783.49,5862.36,5885.73,5749.06
Mar-03-2006,5721.46,5771.33,5811.48,5691.21
Mar-06-2006,5754.06,5742.07,5768.98,5726.59
Mar-07-2006,5739.28,5732.54,5750.85,5698.06
Mar-08-2006,5673.36,5745.38,5763.27,5664.19
Mar-09-2006,5732.22,5711.02,5741.83,5693.30
Mar-10-2006,5804.92,5715.30,5804.95,5708.79
Mar-13-2006,5855.16,5820.74,5859.92,5807.61
Mar-14-2006,5870.88,5841.43,5870.88,5823.63
Mar-15-2006,5898.48,5885.50,5905.83,5869.51
Mar-16-2006,5897.79,5906.30,5909.50,5867.37
Mar-17-2006,5882.38,5906.36,5947.43,5862.04
Mar-20-2006,5902.79,5895.78,5932.46,5884.33
Mar-22-2006,5932.31,5883.09,5949.15,5859.52
Mar-23-2006,5947.11,5941.78,5960.02,5922.03
Mar-24-2006,5973.14,5956.35,5977.06,5941.24
Mar-27-2006,5912.26,5972.15,5976.63,5910.89
Mar-28-2006,5890.63,5914.65,5940.59,5863.07
Mar-29-2006,5914.78,5893.27,5921.12,5868.21
Mar-30-2006,5984.19,5943.47,5993.45,5936.31
Mar-31-2006,5970.08,5972.03,5993.90,5942.88
Apr-03-2006,6024.05,5989.08,6028.14,5978.46
Apr-04-2006,6013.85,6015.37,6024.66,5992.89
Apr-05-2006,6029.20,6013.89,6035.67,5995.77
