Date,Close,Open,High,Low
Feb-07-2006,7.858,7.950,7.970,7.700
Feb-08-2006,7.735,7.900,8.120,7.700
Feb-09-2006,7.479,7.690,7.800,7.300
Feb-10-2006,7.316,7.470,7.580,7.250
Feb-13-2006,7.243,7.410,7.470,7.160
Feb-14-2006,7.114,7.256,7.308,7.020
Feb-15-2006,7.066,7.092,7.440,6.975
Feb-16-2006,7.134,7.100,7.230,6.980
Feb-17-2006,7.182,7.180,7.360,7.090
Feb-20-2006,7.731,7.340,7.770,7.280
Feb-21-2006,7.731,7.340,7.770,7.280
Feb-22-2006,7.283,7.760,7.850,7.170
Feb-23-2006,7.458,7.284,7.600,6.990
Feb-24-2006,7.112,7.420,7.551,6.900
Feb-27-2006,6.789,7.100,7.180,6.700
Feb-28-2006,6.714,6.730,6.821,6.580
Mar-01-2006,6.733,6.714,6.880,6.690
Mar-02-2006,6.760,6.772,6.920,6.540
Mar-03-2006,6.790,6.762,6.850,6.610
Mar-06-2006,6.547,6.700,6.732,6.470
Mar-07-2006,6.678,6.541,6.750,6.501
Mar-08-2006,6.648,6.700,6.764,6.450
Mar-09-2006,6.601,6.641,6.720,6.480
Mar-10-2006,6.646,6.644,6.810,6.581
Mar-13-2006,7.007,6.720,7.090,6.690
Mar-14-2006,7.167,7.040,7.239,6.950
Mar-15-2006,7.143,7.170,7.210,7.030
Mar-16-2006,7.267,7.146,7.370,7.064
Mar-17-2006,7.053,7.240,7.310,7.040
Mar-20-2006,6.835,7.010,7.085,6.820
Mar-22-2006,6.953,6.910,7.130,6.870
Mar-23-2006,7.328,6.940,7.340,6.932
Mar-24-2006,7.290,7.350,7.490,7.160
Mar-27-2006,7.067,7.300,7.330,6.930
Mar-28-2006,7.214,7.080,7.280,7.060
Mar-29-2006,7.233,7.263,7.370,7.150
Mar-30-2006,7.487,7.480,7.562,7.370
Mar-31-2006,7.210,7.490,7.490,7.200
Apr-03-2006,7.244,7.200,7.630,7.140
Apr-04-2006,7.065,7.220,7.220,6.970
Apr-05-2006,7.069,7.063,7.160,6.900
Apr-06-2006,6.972,7.080,7.250,6.950
Apr-07-2006,6.743,6.949,6.949,6.720
Apr-10-2006,6.882,6.726,6.940,6.650
Apr-11-2006,6.908,6.919,7.020,6.790
Apr-12-2006,6.808,6.907,7.000,6.770
Apr-13-2006,7.135,6.780,7.150,6.650
