Date,Close,Open,High,Low
Feb-07-2006,16720.99,16768.16,16769.37,16681.04
Feb-08-2006,16272.68,16609.96,16682.91,16272.68
Feb-09-2006,16439.67,16444.74,16540.49,16351.43
Feb-10-2006,16257.83,16525.50,16525.50,16090.93
Feb-13-2006,15877.66,16191.93,16191.93,15877.66
Feb-14-2006,16184.87,15845.19,16184.87,15691.86
Feb-15-2006,15932.83,16302.94,16312.74,15932.83
Feb-16-2006,16043.67,15901.38,16109.20,15842.00
Feb-17-2006,15713.45,16078.51,16129.94,15702.67
Feb-20-2006,15437.93,15620.58,15661.85,15389.58
Feb-21-2006,15894.94,15602.83,15894.94,15573.71
Feb-22-2006,15781.78,15882.64,15923.00,15679.91
Feb-23-2006,16096.10,15908.87,16096.10,15892.51
Feb-24-2006,16101.91,16034.67,16118.11,15947.04
Feb-27-2006,16192.95,16156.15,16290.15,16123.29
Feb-28-2006,16205.43,16218.62,16229.68,15953.32
Mar-01-2006,15964.46,16026.82,16053.30,15910.65
Mar-02-2006,15909.76,16068.76,16106.26,15879.71
Mar-03-2006,15663.34,15835.43,15897.29,15658.64
Mar-06-2006,15901.16,15668.63,15901.16,15609.80
Mar-07-2006,15726.02,15864.57,15864.57,15678.12
Mar-08-2006,15627.49,15657.79,15720.65,15553.14
Mar-09-2006,16036.91,15645.30,16049.61,15645.30
Mar-10-2006,16115.63,16007.41,16264.89,15982.02
Mar-13-2006,16361.51,16264.59,16379.47,16242.16
Mar-14-2006,16238.36,16401.11,16410.29,16238.36
Mar-15-2006,16319.04,16342.52,16367.76,16291.77
Mar-16-2006,16096.21,16354.71,16356.49,16032.55
Mar-17-2006,16339.73,16172.74,16339.73,16106.38
Mar-20-2006,16624.80,16299.35,16667.13,16299.35
Mar-22-2006,16495.48,16578.50,16583.25,16477.26
Mar-23-2006,16489.37,16605.48,16661.14,16464.47
Mar-24-2006,16560.87,16501.50,16612.52,16462.47
Mar-27-2006,16650.10,16599.92,16711.16,16599.92
Mar-28-2006,16690.24,16550.47,16690.24,16463.95
Mar-29-2006,16938.41,16670.38,16976.29,16613.72
Mar-30-2006,17045.34,17011.13,17125.64,16974.47
Mar-31-2006,17059.66,17088.76,17094.61,16995.77
Apr-03-2006,17333.31,17127.61,17387.08,17105.50
Apr-04-2006,17292.91,17295.58,17410.30,17266.39
Apr-05-2006,17243.98,17340.14,17464.54,17187.35
Apr-06-2006,17489.33,17365.57,17489.33,17347.01
Apr-07-2006,17563.37,17498.88,17563.37,17418.94
Apr-10-2006,17456.58,17455.03,17489.61,17385.25
Apr-11-2006,17418.13,17460.68,17489.16,17295.42
Apr-12-2006,17162.55,17297.18,17325.21,17162.00
Apr-13-2006,17199.15,17232.28,17303.27,17068.96
Apr-14-2006,17233.82,17319.33,17319.33,17149.08
Apr-17-2006,17000.36,17233.73,17233.73,17000.36
Apr-18-2006,17232.86,16971.76,17268.05,16945.30
Apr-19-2006,17350.12,17405.92,17459.24,17350.12
Apr-20-2006,17317.53,17391.94,17412.59,17283.97
Apr-21-2006,17403.96,17332.35,17479.73,17258.49
Apr-24-2006,16914.40,17245.62,17245.62,16892.15
Apr-25-2006,16970.29,16929.36,17000.20,16787.44
Apr-26-2006,17055.93,16993.23,17107.93,16944.54
Apr-27-2006,17114.54,17118.92,17176.06,17094.72
Apr-28-2006,16906.23,17039.37,17043.67,16750.50
May-01-2006,16925.71,16929.83,16965.33,16868.69
May-02-2006,17153.77,16920.13,17188.54,16900.33
May-08-2006,17291.67,17334.19,17375.25,17248.59
May-09-2006,17190.91,17253.81,17294.50,17178.95
May-10-2006,16951.93,17161.47,17253.11,16883.39
May-11-2006,16862.14,16887.37,17087.00,16840.85
May-12-2006,16601.78,16655.98,16655.98,16422.49
May-15-2006,16486.91,16395.88,16486.91,16317.20
May-16-2006,16158.42,16508.89,16596.48,16116.73
May-17-2006,16307.67,16259.02,16319.30,16033.66
May-18-2006,16087.18,16089.25,16139.14,15914.39
May-19-2006,16155.45,16041.18,16166.34,15925.69
May-22-2006,15857.87,16254.56,16268.51,15837.26
May-23-2006,15599.20,15722.05,15776.20,15582.86
May-24-2006,15907.20,15676.64,15907.20,15508.51
May-25-2006,15693.75,15809.33,15849.23,15644.62
May-26-2006,15970.76,15827.87,15970.76,15819.32
May-29-2006,15915.68,16111.54,16111.54,15885.07
May-30-2006,15859.45,15920.79,15937.91,15814.83
May-31-2006,15467.33,15660.87,15660.87,15442.53
Jun-01-2006,15503.74,15603.25,15655.00,15417.51
Jun-02-2006,15789.31,15600.28,15789.31,15266.97
Jun-05-2006,15668.31,15719.31,15784.95,15622.75
Jun-06-2006,15384.86,15500.92,15507.78,15340.93
Jun-07-2006,15096.01,15285.05,15433.29,15095.15
Jun-08-2006,14633.03,14990.04,14990.04,14496.96
Jun-09-2006,14750.84,14530.50,14825.48,14389.31
Jun-12-2006,14833.01,14685.46,14845.04,14580.87
Jun-13-2006,14218.60,14650.59,14658.23,14218.60
Jun-14-2006,14309.56,14084.52,14458.82,14045.53
Jun-15-2006,14470.76,14453.33,14593.85,14417.70
Jun-16-2006,14879.34,14679.35,14976.67,14679.35
Jun-19-2006,14860.35,14815.86,14918.60,14772.14
Jun-20-2006,14648.41,14811.11,14845.71,14621.87
Jun-21-2006,14644.26,14712.86,14713.43,14482.96
Jun-22-2006,15135.69,14812.17,15138.47,14812.17
Jun-23-2006,15124.04,15001.77,15126.52,14865.57
Jun-26-2006,15152.40,15080.23,15216.78,14987.77
Jun-27-2006,15171.81,15165.63,15207.38,15095.11
Jun-28-2006,14886.11,14998.01,14998.01,14824.80
Jun-29-2006,15121.15,14981.70,15137.58,14975.78
Jun-30-2006,15505.18,15333.10,15521.22,15333.10
Jul-03-2006,15571.62,15573.35,15617.22,15513.29
Jul-04-2006,15638.50,15677.04,15710.39,15617.81
Jul-05-2006,15523.94,15504.17,15584.62,15479.93
Jul-06-2006,15321.40,15455.18,15460.83,15278.18
Jul-07-2006,15307.61,15428.32,15437.04,15276.15
Jul-10-2006,15552.81,15149.91,15555.43,15079.74
Jul-11-2006,15473.82,15485.26,15498.20,15333.59
Jul-12-2006,15249.32,15405.42,15463.72,15169.15
Jul-13-2006,15097.95,15127.74,15370.35,15053.61
Jul-14-2006,14845.24,14914.01,14997.45,14815.90
Jul-18-2006,14437.24,14714.18,14747.20,14437.24
Jul-19-2006,14500.26,14503.83,14625.64,14456.43
Jul-20-2006,14946.84,14713.56,14962.13,14705.43
Jul-21-2006,14821.26,14825.16,14867.81,14784.24
Jul-24-2006,14794.50,14700.58,14851.91,14560.67
Jul-25-2006,15005.24,14970.60,15078.36,14948.36
Jul-26-2006,14884.07,15065.57,15108.14,14882.67
Jul-27-2006,15179.78,14883.50,15220.33,14839.49
Jul-28-2006,15342.87,15217.44,15351.79,15150.53
Jul-31-2006,15456.81,15462.39,15536.32,15433.20
Aug-01-2006,15440.91,15387.52,15522.03,15365.71
Aug-02-2006,15464.29,15341.53,15466.07,15287.81
Aug-03-2006,15470.37,15527.27,15580.91,15441.67
Aug-04-2006,15499.18,15502.56,15555.90,15435.33
Aug-07-2006,15154.06,15494.47,15516.24,15154.06
Aug-08-2006,15464.66,15234.39,15476.94,15189.10
Aug-09-2006,15656.59,15417.02,15659.41,15240.30
Aug-10-2006,15630.91,15585.09,15690.86,15536.15
Aug-11-2006,15565.02,15622.24,15681.40,15555.60
Aug-14-2006,15857.11,15550.96,15857.11,15549.67
Aug-15-2006,15816.19,15831.69,15913.34,15807.72
Aug-16-2006,16071.36,15970.60,16085.07,15962.98
Aug-17-2006,16020.84,16142.56,16204.60,16008.44
Aug-18-2006,16105.98,16052.58,16169.84,16022.12
Aug-21-2006,15969.04,16104.50,16145.50,15936.61
Aug-22-2006,16181.17,15994.99,16244.84,15994.99
Aug-23-2006,16163.03,16161.82,16226.59,16118.12
Aug-24-2006,15960.62,16088.54,16089.13,15910.62
Aug-25-2006,15938.66,15955.76,16156.78,15874.63
Aug-28-2006,15762.59,15953.08,16005.09,15745.01
Aug-29-2006,15890.56,15881.92,15946.42,15811.73
Aug-30-2006,15872.02,15929.90,15962.93,15769.16
Aug-31-2006,16140.76,15884.61,16207.41,15882.26
Sep-01-2006,16134.25,16072.81,16158.48,16029.56
Sep-04-2006,16358.07,16280.18,16414.94,16280.18
Sep-05-2006,16385.96,16357.29,16403.90,16280.68
