Date,Close,Open,High,Low
Feb-07-2006,1254.78,1265.02,1265.78,1253.61
Feb-08-2006,1265.65,1254.78,1266.47,1254.78
Feb-09-2006,1263.78,1265.65,1274.56,1262.80
Feb-10-2006,1266.99,1263.82,1269.89,1254.98
Feb-13-2006,1262.86,1266.99,1266.99,1258.34
Feb-14-2006,1275.53,1262.86,1278.21,1260.80
Feb-15-2006,1280.00,1275.53,1281.00,1271.06
Feb-16-2006,1289.38,1280.00,1289.39,1280.00
Feb-17-2006,1287.24,1289.38,1289.47,1284.07
Feb-20-2006,1283.03,1287.24,1291.92,1281.33
Feb-21-2006,1283.03,1287.24,1291.92,1281.33
Feb-22-2006,1292.67,1283.03,1294.17,1283.03
Feb-23-2006,1287.79,1292.67,1293.84,1285.14
Feb-24-2006,1289.43,1287.79,1292.11,1285.62
Feb-27-2006,1294.12,1289.43,1297.57,1289.43
Feb-28-2006,1280.66,1294.12,1294.12,1278.66
Mar-01-2006,1291.24,1280.66,1291.80,1280.66
Mar-02-2006,1289.14,1291.24,1291.24,1283.21
Mar-03-2006,1287.23,1289.14,1297.33,1284.20
Mar-06-2006,1278.26,1287.23,1288.23,1275.67
Mar-07-2006,1275.88,1278.26,1278.26,1271.11
Mar-08-2006,1278.47,1275.88,1280.33,1268.42
Mar-09-2006,1272.23,1278.47,1282.74,1272.23
Mar-10-2006,1281.42,1272.23,1284.37,1271.11
Mar-13-2006,1284.13,1281.58,1287.37,1281.58
Mar-14-2006,1297.48,1284.13,1298.14,1282.67
Mar-15-2006,1303.02,1297.48,1304.40,1294.97
Mar-16-2006,1305.33,1303.02,1310.45,1303.02
Mar-17-2006,1307.25,1305.33,1309.79,1305.32
Mar-20-2006,1305.08,1307.25,1310.00,1303.59
Mar-22-2006,1305.04,1297.23,1305.97,1295.81
Mar-23-2006,1301.67,1305.04,1305.04,1298.11
Mar-24-2006,1302.95,1301.67,1306.53,1298.89
Mar-27-2006,1301.61,1302.95,1303.74,1299.09
Mar-28-2006,1293.23,1301.61,1306.24,1291.84
Mar-29-2006,1302.89,1293.23,1305.60,1293.23
Mar-30-2006,1300.25,1302.89,1310.15,1296.72
Mar-31-2006,1294.87,1300.25,1303.00,1294.87
Apr-03-2006,1297.81,1302.88,1309.19,1296.65
Apr-04-2006,1305.93,1297.81,1307.55,1294.71
Apr-05-2006,1311.56,1305.93,1312.81,1304.82
Apr-06-2006,1309.04,1311.56,1311.99,1302.44
Apr-07-2006,1295.50,1309.04,1314.07,1294.18
Apr-10-2006,1296.62,1295.51,1300.74,1293.17
Apr-11-2006,1286.57,1296.60,1300.71,1282.96
Apr-12-2006,1288.12,1286.57,1290.93,1286.45
Apr-13-2006,1289.12,1288.12,1292.09,1283.37
Apr-14-2006,1285.33,1289.12,1292.45,1280.74
Apr-17-2006,1285.33,1289.12,1292.45,1280.74
Apr-18-2006,1307.28,1285.33,1309.02,1285.33
Apr-19-2006,1309.93,1307.65,1310.39,1302.79
Apr-20-2006,1311.46,1309.93,1318.16,1306.38
Apr-21-2006,1311.28,1311.46,1317.67,1306.59
