Date,Close,Open,High,Low
Feb-07-2006,4.571,4.571,4.571,4.571
Feb-08-2006,4.591,4.591,4.591,4.591
Feb-09-2006,4.549,4.549,4.549,4.549
Feb-10-2006,4.590,4.590,4.590,4.590
Feb-13-2006,4.585,4.585,4.585,4.585
Feb-14-2006,4.612,4.612,4.612,4.612
Feb-15-2006,4.600,4.600,4.600,4.600
Feb-16-2006,4.588,4.588,4.588,4.588
Feb-17-2006,4.539,4.539,4.539,4.539
Feb-20-2006,4.545,4.545,4.545,4.545
Feb-21-2006,4.571,4.571,4.571,4.571
Feb-22-2006,4.527,4.527,4.527,4.527
Feb-23-2006,4.563,4.563,4.563,4.563
Feb-24-2006,4.577,4.577,4.577,4.577
Feb-27-2006,4.594,4.594,4.594,4.594
Feb-28-2006,4.557,4.557,4.557,4.557
Mar-01-2006,4.589,4.589,4.589,4.589
Mar-02-2006,4.632,4.632,4.632,4.632
Mar-03-2006,4.684,4.684,4.684,4.684
Mar-06-2006,4.754,4.754,4.754,4.754
Mar-07-2006,4.728,4.728,4.728,4.728
Mar-08-2006,4.732,4.732,4.732,4.732
Mar-09-2006,4.730,4.730,4.730,4.730
Mar-10-2006,4.763,4.763,4.763,4.763
Mar-13-2006,4.773,4.773,4.773,4.773
Mar-14-2006,4.698,4.698,4.698,4.698
Mar-15-2006,4.731,4.731,4.731,4.731
Mar-16-2006,4.648,4.648,4.648,4.648
Mar-17-2006,4.676,4.676,4.676,4.676
Mar-20-2006,4.662,4.662,4.662,4.662
Mar-22-2006,4.705,4.705,4.705,4.705
Mar-23-2006,4.737,4.737,4.737,4.737
Mar-24-2006,4.675,4.675,4.675,4.675
Mar-27-2006,4.709,4.709,4.709,4.709
Mar-28-2006,4.794,4.794,4.794,4.794
Mar-29-2006,4.808,4.808,4.808,4.808
Mar-30-2006,4.861,4.861,4.861,4.861
Mar-31-2006,4.853,4.853,4.853,4.853
Apr-03-2006,4.866,4.866,4.866,4.866
Apr-04-2006,4.868,4.868,4.868,4.868
Apr-05-2006,4.847,4.847,4.847,4.847
Apr-06-2006,4.901,4.901,4.901,4.901
Apr-07-2006,4.986,4.986,4.986,4.986
Apr-10-2006,4.957,4.957,4.957,4.957
Apr-11-2006,4.924,4.924,4.924,4.924
Apr-12-2006,4.982,4.982,4.982,4.982
Apr-13-2006,5.053,5.053,5.053,5.053
Apr-14-2006,5.009,5.009,5.009,5.009
Apr-17-2006,5.009,5.009,5.009,5.009
Apr-18-2006,4.987,4.987,4.987,4.987
Apr-19-2006,5.028,5.028,5.028,5.028
Apr-20-2006,5.047,5.047,5.047,5.047
Apr-21-2006,5.016,5.016,5.016,5.016
Apr-24-2006,4.985,4.985,4.985,4.985
Apr-25-2006,5.073,5.073,5.073,5.073
Apr-26-2006,5.111,5.111,5.111,5.111
Apr-27-2006,5.073,5.073,5.073,5.073
Apr-28-2006,5.057,5.057,5.057,5.057
May-01-2006,5.143,5.143,5.143,5.143
May-02-2006,5.114,5.114,5.114,5.114
May-08-2006,5.119,5.119,5.119,5.119
May-09-2006,5.130,5.130,5.130,5.130
May-10-2006,5.130,5.130,5.130,5.130
May-11-2006,5.162,5.162,5.162,5.162
May-12-2006,5.200,5.200,5.200,5.200
May-15-2006,5.161,5.161,5.161,5.161
May-16-2006,5.103,5.103,5.103,5.103
May-17-2006,5.151,5.151,5.151,5.151
May-18-2006,5.063,5.063,5.063,5.063
May-19-2006,5.064,5.064,5.064,5.064
May-22-2006,5.044,5.044,5.044,5.044
May-23-2006,5.016,5.016,5.016,5.016
May-24-2006,5.042,5.042,5.042,5.042
May-25-2006,5.076,5.076,5.076,5.076
May-26-2006,5.056,5.056,5.056,5.056
May-29-2006,5.062,5.062,5.062,5.062
May-30-2006,5.078,5.078,5.078,5.078
May-31-2006,5.123,5.123,5.123,5.123
Jun-01-2006,5.104,5.104,5.104,5.104
Jun-02-2006,4.994,4.994,4.994,4.994
Jun-05-2006,5.026,5.026,5.026,5.026
Jun-06-2006,5.004,5.004,5.004,5.004
Jun-07-2006,5.024,5.024,5.024,5.024
Jun-08-2006,5.000,5.000,5.000,5.000
Jun-09-2006,4.977,4.977,4.977,4.977
Jun-12-2006,4.983,4.983,4.983,4.983
Jun-13-2006,4.969,4.969,4.969,4.969
Jun-14-2006,5.070,5.070,5.070,5.070
Jun-15-2006,5.100,5.100,5.100,5.100
Jun-16-2006,5.135,5.135,5.135,5.135
Jun-19-2006,5.139,5.139,5.139,5.139
Jun-20-2006,5.157,5.157,5.157,5.157
Jun-21-2006,5.159,5.159,5.159,5.159
Jun-22-2006,5.214,5.214,5.214,5.214
Jun-23-2006,5.228,5.228,5.228,5.228
Jun-26-2006,5.239,5.239,5.239,5.239
Jun-27-2006,5.208,5.208,5.208,5.208
Jun-28-2006,5.253,5.253,5.253,5.253
Jun-29-2006,5.200,5.200,5.200,5.200
Jun-30-2006,5.145,5.145,5.145,5.145
Jul-03-2006,5.155,5.155,5.155,5.155
Jul-04-2006,5.143,5.143,5.143,5.143
Jul-05-2006,5.227,5.227,5.227,5.227
Jul-06-2006,5.183,5.183,5.183,5.183
Jul-07-2006,5.132,5.132,5.132,5.132
Jul-10-2006,5.130,5.130,5.130,5.130
Jul-11-2006,5.108,5.108,5.108,5.108
Jul-12-2006,5.106,5.106,5.106,5.106
Jul-13-2006,5.067,5.067,5.067,5.067
Jul-14-2006,5.067,5.067,5.067,5.067
Jul-18-2006,5.136,5.136,5.136,5.136
Jul-19-2006,5.055,5.055,5.055,5.055
Jul-20-2006,5.030,5.030,5.030,5.030
Jul-21-2006,5.049,5.049,5.049,5.049
Jul-24-2006,5.049,5.049,5.049,5.049
Jul-25-2006,5.069,5.069,5.069,5.069
Jul-26-2006,5.038,5.038,5.038,5.038
Jul-27-2006,5.040,5.040,5.040,5.040
Jul-28-2006,4.994,4.994,4.994,4.994
Jul-31-2006,4.988,4.988,4.988,4.988
Aug-01-2006,4.981,4.981,4.981,4.981
Aug-02-2006,4.965,4.965,4.965,4.965
Aug-03-2006,4.963,4.963,4.963,4.963
Aug-04-2006,4.899,4.899,4.899,4.899
Aug-07-2006,4.923,4.923,4.923,4.923
Aug-08-2006,4.925,4.925,4.925,4.925
Aug-09-2006,4.941,4.941,4.941,4.941
Aug-10-2006,4.939,4.939,4.939,4.939
Aug-11-2006,4.975,4.975,4.975,4.975
Aug-14-2006,4.999,4.999,4.999,4.999
Aug-15-2006,4.935,4.935,4.935,4.935
Aug-16-2006,4.865,4.865,4.865,4.865
Aug-17-2006,4.869,4.869,4.869,4.869
Aug-18-2006,4.847,4.847,4.847,4.847
Aug-21-2006,4.817,4.817,4.817,4.817
Aug-22-2006,4.811,4.811,4.811,4.811
Aug-23-2006,4.821,4.821,4.821,4.821
Aug-24-2006,4.805,4.805,4.805,4.805
Aug-25-2006,4.785,4.785,4.785,4.785
Aug-28-2006,4.793,4.793,4.793,4.793
Aug-29-2006,4.785,4.785,4.785,4.785
Aug-30-2006,4.753,4.753,4.753,4.753
Aug-31-2006,4.732,4.732,4.732,4.732
Sep-01-2006,4.724,4.724,4.724,4.724
Sep-04-2006,4.785,4.785,4.785,4.785
Sep-05-2006,4.785,4.785,4.785,4.785
Sep-06-2006,4.799,4.799,4.799,4.799
Sep-07-2006,4.793,4.793,4.793,4.793
Sep-08-2006,4.777,4.777,4.777,4.777
Sep-11-2006,4.805,4.805,4.805,4.805
Sep-12-2006,4.775,4.775,4.775,4.775
Sep-13-2006,4.765,4.765,4.765,4.765
Sep-14-2006,4.793,4.793,4.793,4.793
Sep-15-2006,4.796,4.796,4.796,4.796
Sep-19-2006,4.739,4.739,4.739,4.739
