Date,Close,Open,High,Low
Feb-07-2006,0.8350,0.8355,0.8373,0.8320
Feb-08-2006,0.8364,0.8347,0.8387,0.8335
Feb-09-2006,0.8348,0.8358,0.8371,0.8335
Feb-10-2006,0.8404,0.8346,0.8409,0.8312
Feb-13-2006,0.8400,0.8401,0.8419,0.8387
Feb-14-2006,0.8392,0.8401,0.8433,0.8384
Feb-15-2006,0.8412,0.8390,0.8426,0.8363
Feb-16-2006,0.8406,0.8409,0.8441,0.8401
Feb-17-2006,0.8380,0.8400,0.8433,0.8370
Feb-20-2006,0.8377,0.8381,0.8387,0.8349
Feb-21-2006,0.8396,0.8375,0.8410,0.8372
Feb-22-2006,0.8397,0.8393,0.8430,0.8380
Feb-23-2006,0.8389,0.8393,0.8409,0.8351
Feb-24-2006,0.8423,0.8387,0.8430,0.8377
Feb-27-2006,0.8440,0.8422,0.8456,0.8417
Feb-28-2006,0.8389,0.8440,0.8451,0.8372
Mar-01-2006,0.8393,0.8386,0.8410,0.8349
Mar-02-2006,0.8303,0.8390,0.8394,0.8300
Mar-03-2006,0.8307,0.8307,0.8336,0.8295
Mar-06-2006,0.8321,0.8299,0.8341,0.8267
Mar-07-2006,0.8413,0.8319,0.8426,0.8316
Mar-08-2006,0.8387,0.8412,0.8423,0.8372
Mar-09-2006,0.8393,0.8384,0.8403,0.8364
Mar-10-2006,0.8393,0.8393,0.8432,0.8379
Mar-13-2006,0.8362,0.8390,0.8396,0.8353
Mar-14-2006,0.8322,0.8361,0.8379,0.8310
Mar-15-2006,0.8285,0.8323,0.8329,0.8280
Mar-16-2006,0.8208,0.8285,0.8310,0.8202
Mar-17-2006,0.8204,0.8211,0.8238,0.8190
Mar-20-2006,0.8218,0.8207,0.8233,0.8197
Mar-22-2006,0.8279,0.8269,0.8289,0.8253
Mar-23-2006,0.8353,0.8281,0.8365,0.8275
Mar-24-2006,0.8309,0.8354,0.8368,0.8298
Mar-27-2006,0.8325,0.8305,0.8330,0.8286
Mar-28-2006,0.8332,0.8323,0.8338,0.8255
Mar-29-2006,0.8313,0.8331,0.8348,0.8297
Mar-30-2006,0.8217,0.8313,0.8319,0.8215
Mar-31-2006,0.8252,0.8220,0.8279,0.8211
Apr-03-2006,0.8239,0.8251,0.8312,0.8230
Apr-04-2006,0.8159,0.8239,0.8252,0.8142
Apr-05-2006,0.8133,0.8155,0.8167,0.8123
Apr-06-2006,0.8180,0.8131,0.8199,0.8106
Apr-07-2006,0.8271,0.8183,0.8273,0.8178
Apr-10-2006,0.8255,0.8258,0.8280,0.8242
Apr-11-2006,0.8233,0.8255,0.8271,0.8225
Apr-12-2006,0.8260,0.8237,0.8289,0.8216
Apr-13-2006,0.8256,0.8260,0.8287,0.8239
Apr-14-2006,0.8257,0.8260,0.8270,0.8249
Apr-17-2006,0.8158,0.8249,0.8250,0.8135
Apr-18-2006,0.8093,0.8159,0.8181,0.8089
Apr-19-2006,0.8077,0.8089,0.8140,0.8066
Apr-20-2006,0.8117,0.8075,0.8139,0.8074
Apr-21-2006,0.8102,0.8118,0.8154,0.8087
Apr-24-2006,0.8069,0.8082,0.8109,0.8053
Apr-25-2006,0.8044,0.8074,0.8086,0.8037
Apr-26-2006,0.8034,0.8043,0.8075,0.8017
Apr-27-2006,0.7979,0.8033,0.8063,0.7967
Apr-28-2006,0.7915,0.7980,0.7989,0.7910
May-01-2006,0.7944,0.7920,0.7965,0.7878
May-02-2006,0.7927,0.7955,0.7963,0.7892
May-08-2006,0.7870,0.7847,0.7879,0.7818
May-09-2006,0.7838,0.7872,0.7899,0.7820
May-10-2006,0.7818,0.7836,0.7843,0.7792
May-11-2006,0.7793,0.7820,0.7884,0.7767
May-12-2006,0.7731,0.7791,0.7795,0.7716
May-15-2006,0.7814,0.7723,0.7825,0.7708
May-16-2006,0.7776,0.7813,0.7831,0.7768
May-17-2006,0.7851,0.7774,0.7873,0.7736
May-18-2006,0.7771,0.7855,0.7861,0.7766
May-19-2006,0.7829,0.7775,0.7878,0.7772
May-22-2006,0.7767,0.7836,0.7879,0.7759
May-23-2006,0.7802,0.7772,0.7809,0.7763
May-24-2006,0.7840,0.7803,0.7856,0.7755
May-25-2006,0.7810,0.7836,0.7845,0.7800
May-26-2006,0.7853,0.7803,0.7874,0.7788
May-29-2006,0.7839,0.7855,0.7863,0.7830
May-30-2006,0.7767,0.7844,0.7849,0.7744
May-31-2006,0.7804,0.7766,0.7811,0.7748
Jun-01-2006,0.7807,0.7803,0.7862,0.7796
Jun-02-2006,0.7740,0.7805,0.7816,0.7727
Jun-05-2006,0.7749,0.7733,0.7753,0.7703
Jun-06-2006,0.7803,0.7747,0.7807,0.7729
Jun-07-2006,0.7818,0.7800,0.7837,0.7788
Jun-08-2006,0.7901,0.7813,0.7921,0.7805
Jun-09-2006,0.7909,0.7903,0.7940,0.7882
Jun-12-2006,0.7948,0.7925,0.7958,0.7903
Jun-13-2006,0.7977,0.7947,0.7982,0.7922
Jun-14-2006,0.7934,0.7969,0.7979,0.7904
Jun-15-2006,0.7915,0.7933,0.7949,0.7898
Jun-16-2006,0.7909,0.7915,0.7927,0.7888
Jun-19-2006,0.7950,0.7905,0.7967,0.7903
Jun-20-2006,0.7948,0.7950,0.7975,0.7924
Jun-21-2006,0.7897,0.7946,0.7949,0.7886
Jun-22-2006,0.7953,0.7894,0.7968,0.7885
Jun-23-2006,0.7992,0.7951,0.8015,0.7940
Jun-26-2006,0.7946,0.7996,0.7999,0.7933
Jun-27-2006,0.7946,0.7942,0.7962,0.7923
Jun-28-2006,0.7963,0.7948,0.7990,0.7944
Jun-29-2006,0.7898,0.7967,0.7989,0.7893
Jun-30-2006,0.7818,0.7894,0.7903,0.7814
Jul-03-2006,0.7813,0.7819,0.7836,0.7797
Jul-04-2006,0.7813,0.7817,0.7822,0.7797
Jul-05-2006,0.7861,0.7818,0.7872,0.7787
Jul-06-2006,0.7826,0.7859,0.7862,0.7821
Jul-07-2006,0.7806,0.7824,0.7836,0.7773
Jul-10-2006,0.7850,0.7804,0.7862,0.7801
Jul-11-2006,0.7831,0.7850,0.7872,0.7824
Jul-12-2006,0.7873,0.7833,0.7891,0.7823
Jul-13-2006,0.7881,0.7870,0.7896,0.7854
Jul-14-2006,0.7904,0.7878,0.7921,0.7873
Jul-18-2006,0.7996,0.7986,0.8016,0.7960
Jul-19-2006,0.7941,0.7997,0.8028,0.7929
Jul-20-2006,0.7921,0.7940,0.7944,0.7901
Jul-21-2006,0.7875,0.7919,0.7923,0.7873
Jul-24-2006,0.7914,0.7871,0.7932,0.7868
Jul-25-2006,0.7948,0.7916,0.7963,0.7890
Jul-26-2006,0.7865,0.7948,0.7961,0.7857
Jul-27-2006,0.7874,0.7863,0.7886,0.7828
Jul-28-2006,0.7834,0.7875,0.7902,0.7830
Jul-31-2006,0.7834,0.7832,0.7850,0.7821
Aug-01-2006,0.7796,0.7833,0.7862,0.7792
Aug-02-2006,0.7821,0.7797,0.7827,0.7789
Aug-03-2006,0.7810,0.7818,0.7848,0.7790
Aug-04-2006,0.7769,0.7813,0.7837,0.7745
Aug-07-2006,0.7792,0.7762,0.7795,0.7755
Aug-08-2006,0.7792,0.7792,0.7809,0.7755
Aug-09-2006,0.7773,0.7798,0.7835,0.7748
Aug-10-2006,0.7815,0.7774,0.7845,0.7743
Aug-11-2006,0.7862,0.7817,0.7865,0.7811
Aug-14-2006,0.7863,0.7865,0.7871,0.7833
Aug-15-2006,0.7821,0.7860,0.7877,0.7808
Aug-16-2006,0.7785,0.7821,0.7833,0.7769
Aug-17-2006,0.7796,0.7785,0.7806,0.7758
Aug-18-2006,0.7796,0.7793,0.7826,0.7783
Aug-21-2006,0.7756,0.7795,0.7796,0.7727
Aug-22-2006,0.7808,0.7760,0.7823,0.7755
Aug-23-2006,0.7819,0.7808,0.7828,0.7778
Aug-24-2006,0.7831,0.7822,0.7844,0.7786
Aug-25-2006,0.7841,0.7831,0.7860,0.7820
Aug-28-2006,0.7829,0.7835,0.7841,0.7798
Aug-29-2006,0.7796,0.7821,0.7844,0.7786
Aug-30-2006,0.7789,0.7797,0.7805,0.7779
Aug-31-2006,0.7809,0.7790,0.7822,0.7763
Sep-01-2006,0.7790,0.7809,0.7840,0.7783
Sep-04-2006,0.7769,0.7784,0.7789,0.7765
Sep-05-2006,0.7801,0.7775,0.7815,0.7771
Sep-06-2006,0.7809,0.7800,0.7831,0.7789
Sep-07-2006,0.7853,0.7808,0.7871,0.7792
Sep-08-2006,0.7890,0.7854,0.7907,0.7846
Sep-11-2006,0.7873,0.7894,0.7906,0.7846
Sep-12-2006,0.7882,0.7876,0.7892,0.7852
Sep-13-2006,0.7878,0.7883,0.7895,0.7862
Sep-14-2006,0.7859,0.7876,0.7890,0.7839
Sep-15-2006,0.7905,0.7860,0.7916,0.7851
Sep-19-2006,0.7889,0.7876,0.7906,0.7856
Sep-20-2006,0.7878,0.7887,0.7897,0.7855
Sep-21-2006,0.7824,0.7881,0.7885,0.7812
Sep-22-2006,0.7824,0.7824,0.7829,0.7791
Sep-25-2006,0.7844,0.7819,0.7856,0.7798
Sep-26-2006,0.7882,0.7844,0.7898,0.7834
Sep-27-2006,0.7874,0.7883,0.7893,0.7861
Sep-28-2006,0.7872,0.7873,0.7887,0.7852
Sep-29-2006,0.7892,0.7874,0.7912,0.7864
Oct-02-2006,0.7849,0.7885,0.7897,0.7836
Oct-03-2006,0.7853,0.7849,0.7863,0.7831
Oct-04-2006,0.7864,0.7855,0.7895,0.7847
Oct-05-2006,0.7877,0.7865,0.7893,0.7856
Oct-06-2006,0.7936,0.7880,0.7955,0.7862
Oct-10-2006,0.7975,0.7939,0.7989,0.7925
Oct-11-2006,0.7987,0.7977,0.7998,0.7962
Oct-12-2006,0.7964,0.7987,0.7988,0.7955
Oct-13-2006,0.7989,0.7965,0.8012,0.7948
Oct-16-2006,0.7981,0.7998,0.8006,0.7973
Oct-17-2006,0.7975,0.7978,0.7995,0.7956
Oct-18-2006,0.7981,0.7978,0.8001,0.7959
Oct-19-2006,0.7922,0.7976,0.7982,0.7909
Oct-20-2006,0.7928,0.7920,0.7939,0.7910
Oct-23-2006,0.7968,0.7924,0.7977,0.7921
Oct-24-2006,0.7963,0.7969,0.7984,0.7949
Oct-25-2006,0.7936,0.7966,0.7968,0.7920
Oct-26-2006,0.7878,0.7934,0.7936,0.7871
Oct-27-2006,0.7848,0.7880,0.7897,0.7841
Oct-30-2006,0.7853,0.7855,0.7875,0.7850
Oct-31-2006,0.7834,0.7859,0.7887,0.7822
Nov-01-2006,0.7840,0.7835,0.7848,0.7812
Nov-02-2006,0.7826,0.7838,0.7852,0.7820
Nov-06-2006,0.7860,0.7862,0.7880,0.7857
Nov-07-2006,0.7830,0.7858,0.7861,0.7799
Nov-08-2006,0.7840,0.7827,0.7846,0.7805
Nov-09-2006,0.7797,0.7838,0.7843,0.7781
Nov-10-2006,0.7785,0.7795,0.7795,0.7750
Nov-13-2006,0.7810,0.7785,0.7815,0.7763
Nov-14-2006,0.7805,0.7808,0.7817,0.7767
Nov-15-2006,0.7796,0.7803,0.7829,0.7790
Nov-16-2006,0.7813,0.7794,0.7823,0.7786
Nov-17-2006,0.7796,0.7816,0.7835,0.7783
Nov-20-2006,0.7804,0.7795,0.7810,0.7779
Nov-21-2006,0.7785,0.7802,0.7813,0.7778
Nov-22-2006,0.7725,0.7785,0.7789,0.7715
Nov-24-2006,0.7638,0.7724,0.7727,0.7627
Nov-27-2006,0.7614,0.7592,0.7641,0.7590
Nov-28-2006,0.7575,0.7613,0.7624,0.7569
Nov-29-2006,0.7605,0.7575,0.7615,0.7564
Nov-30-2006,0.7552,0.7601,0.7610,0.7532
Dec-01-2006,0.7499,0.7551,0.7565,0.7490
Dec-04-2006,0.7506,0.7499,0.7529,0.7479
Dec-05-2006,0.7506,0.7497,0.7527,0.7481
Dec-06-2006,0.7524,0.7508,0.7544,0.7494
Dec-07-2006,0.7524,0.7527,0.7532,0.7503
Dec-08-2006,0.7574,0.7526,0.7581,0.7481
Dec-11-2006,0.7554,0.7588,0.7617,0.7538
Dec-12-2006,0.7530,0.7553,0.7568,0.7522
Dec-13-2006,0.7566,0.7528,0.7582,0.7523
Dec-14-2006,0.7606,0.7566,0.7610,0.7544
Dec-15-2006,0.7644,0.7607,0.7656,0.7582
Dec-18-2006,0.7633,0.7642,0.7662,0.7621
Dec-19-2006,0.7581,0.7632,0.7644,0.7565
Dec-20-2006,0.7588,0.7580,0.7599,0.7548
Dec-21-2006,0.7591,0.7589,0.7610,0.7566
Dec-22-2006,0.7608,0.7590,0.7630,0.7566
Dec-25-2006,0.7616,0.7613,0.7634,0.7594
Dec-26-2006,0.7631,0.7623,0.7640,0.7607
Dec-27-2006,0.7623,0.7634,0.7640,0.7587
Dec-28-2006,0.7602,0.7621,0.7631,0.7573
Dec-29-2006,0.7575,0.7605,0.7612,0.7571
Jan-04-2007,0.7644,0.7594,0.7648,0.7584
Jan-05-2007,0.7689,0.7641,0.7703,0.7628
Jan-09-2007,0.7693,0.7677,0.7700,0.7659
Jan-10-2007,0.7731,0.7691,0.7734,0.7688
Jan-11-2007,0.7756,0.7730,0.7762,0.7682
Jan-12-2007,0.7741,0.7756,0.7773,0.7724
Jan-15-2007,0.7731,0.7735,0.7743,0.7715
Jan-16-2007,0.7742,0.7728,0.7748,0.7696
Jan-17-2007,0.7731,0.7741,0.7754,0.7720
Jan-18-2007,0.7718,0.7728,0.7753,0.7704
Jan-19-2007,0.7712,0.7714,0.7744,0.7690
Jan-22-2007,0.7722,0.7714,0.7739,0.7702
Jan-23-2007,0.7677,0.7723,0.7735,0.7664
Jan-24-2007,0.7715,0.7679,0.7724,0.7669
Jan-25-2007,0.7732,0.7712,0.7742,0.7688
Jan-26-2007,0.7741,0.7730,0.7766,0.7724
Jan-29-2007,0.7720,0.7740,0.7753,0.7711
Jan-30-2007,0.7712,0.7717,0.7724,0.7702
Jan-31-2007,0.7672,0.7711,0.7737,0.7669
Feb-01-2007,0.7679,0.7673,0.7691,0.7660
Feb-02-2007,0.7712,0.7678,0.7722,0.7653
Feb-05-2007,0.7733,0.7713,0.7743,0.7710
Feb-06-2007,0.7706,0.7734,0.7745,0.7696
Feb-07-2007,0.7684,0.7703,0.7712,0.7676
Feb-08-2007,0.7669,0.7686,0.7707,0.7666
Feb-09-2007,0.7689,0.7668,0.7702,0.7665
Feb-13-2007,0.7671,0.7712,0.7720,0.7665
Feb-14-2007,0.7617,0.7669,0.7678,0.7602
Feb-15-2007,0.7606,0.7615,0.7624,0.7590
Feb-16-2007,0.7611,0.7608,0.7637,0.7606
Feb-19-2007,0.7602,0.7599,0.7621,0.7595
Feb-20-2007,0.7608,0.7600,0.7618,0.7580
Feb-21-2007,0.7611,0.7607,0.7627,0.7593
Feb-22-2007,0.7620,0.7611,0.7645,0.7606
Feb-23-2007,0.7594,0.7618,0.7633,0.7581
Feb-26-2007,0.7585,0.7596,0.7604,0.7575
Feb-27-2007,0.7551,0.7582,0.7599,0.7540
Feb-28-2007,0.7557,0.7549,0.7587,0.7547
Mar-01-2007,0.7583,0.7557,0.7601,0.7551
Mar-02-2007,0.7580,0.7583,0.7609,0.7573
Mar-05-2007,0.7636,0.7572,0.7651,0.7567
Mar-06-2007,0.7623,0.7638,0.7645,0.7614
Mar-07-2007,0.7589,0.7618,0.7629,0.7583
Mar-08-2007,0.7617,0.7586,0.7624,0.7584
Mar-09-2007,0.7626,0.7616,0.7642,0.7596
Mar-12-2007,0.7583,0.7624,0.7629,0.7574
Mar-13-2007,0.7575,0.7582,0.7602,0.7561
Mar-14-2007,0.7561,0.7575,0.7589,0.7548
Mar-15-2007,0.7554,0.7563,0.7580,0.7544
Mar-16-2007,0.7511,0.7553,0.7559,0.7495
Mar-19-2007,0.7520,0.7506,0.7531,0.7503
Mar-20-2007,0.7510,0.7515,0.7536,0.7505
Mar-22-2007,0.7501,0.7469,0.7514,0.7455
Mar-23-2007,0.7528,0.7501,0.7530,0.7493
Mar-26-2007,0.7500,0.7525,0.7545,0.7491
Mar-27-2007,0.7489,0.7500,0.7510,0.7478
Mar-28-2007,0.7510,0.7487,0.7514,0.7475
Mar-29-2007,0.7501,0.7510,0.7518,0.7487
Mar-30-2007,0.7486,0.7502,0.7527,0.7461
Apr-02-2007,0.7480,0.7476,0.7501,0.7470
Apr-03-2007,0.7500,0.7480,0.7508,0.7471
