Date,Close,Open,High,Low
Feb-07-2006,3.465,3.465,3.465,3.465
Feb-08-2006,3.491,3.491,3.491,3.491
Feb-09-2006,3.4930000000000003,3.4930000000000003,3.4930000000000003,3.4930000000000003
Feb-10-2006,3.4539999999999997,3.4539999999999997,3.4539999999999997,3.4539999999999997
Feb-13-2006,3.491,3.491,3.491,3.491
Feb-14-2006,3.4810000000000003,3.4810000000000003,3.4810000000000003,3.4810000000000003
Feb-15-2006,3.486,3.486,3.486,3.486
Feb-16-2006,3.488,3.488,3.488,3.488
Feb-17-2006,3.4819999999999998,3.4819999999999998,3.4819999999999998,3.4819999999999998
Feb-20-2006,3.4530000000000003,3.4530000000000003,3.4530000000000003,3.4530000000000003
Feb-21-2006,3.42,3.42,3.42,3.42
Feb-22-2006,3.429,3.429,3.429,3.429
Feb-23-2006,3.4010000000000002,3.4010000000000002,3.4010000000000002,3.4010000000000002
Feb-24-2006,3.4810000000000003,3.4810000000000003,3.4810000000000003,3.4810000000000003
Feb-27-2006,3.4939999999999998,3.4939999999999998,3.4939999999999998,3.4939999999999998
Feb-28-2006,3.5269999999999997,3.5269999999999997,3.5269999999999997,3.5269999999999997
Mar-01-2006,3.472,3.472,3.472,3.472
Mar-02-2006,3.495,3.495,3.495,3.495
Mar-03-2006,3.572,3.572,3.572,3.572
Mar-06-2006,3.5860000000000003,3.5860000000000003,3.5860000000000003,3.5860000000000003
Mar-07-2006,3.591,3.591,3.591,3.591
Mar-08-2006,3.6069999999999998,3.6069999999999998,3.6069999999999998,3.6069999999999998
Mar-09-2006,3.638,3.638,3.638,3.638
Mar-10-2006,3.6289999999999996,3.6289999999999996,3.6289999999999996,3.6289999999999996
Mar-13-2006,3.668,3.668,3.668,3.668
Mar-14-2006,3.6889999999999996,3.6889999999999996,3.6889999999999996,3.6889999999999996
Mar-15-2006,3.64,3.64,3.64,3.64
Mar-16-2006,3.674,3.674,3.674,3.674
Mar-17-2006,3.634,3.634,3.634,3.634
Mar-20-2006,3.676,3.676,3.676,3.676
Mar-22-2006,3.665,3.665,3.665,3.665
Mar-23-2006,3.634,3.634,3.634,3.634
Mar-24-2006,3.677,3.677,3.677,3.677
Mar-27-2006,3.634,3.634,3.634,3.634
Mar-28-2006,3.6439999999999997,3.6439999999999997,3.6439999999999997,3.6439999999999997
Mar-29-2006,3.7439999999999998,3.7439999999999998,3.7439999999999998,3.7439999999999998
Mar-30-2006,3.767,3.767,3.767,3.767
Mar-31-2006,3.7910000000000004,3.7910000000000004,3.7910000000000004,3.7910000000000004
Apr-03-2006,3.785,3.785,3.785,3.785
Apr-04-2006,3.8089999999999997,3.8089999999999997,3.8089999999999997,3.8089999999999997
Apr-05-2006,3.845,3.845,3.845,3.845
Apr-06-2006,3.838,3.838,3.838,3.838
Apr-07-2006,3.878,3.878,3.878,3.878
Apr-10-2006,3.9010000000000002,3.9010000000000002,3.9010000000000002,3.9010000000000002
Apr-11-2006,3.904,3.904,3.904,3.904
Apr-12-2006,3.852,3.852,3.852,3.852
Apr-13-2006,3.877,3.877,3.877,3.877
Apr-14-2006,3.951,3.951,3.951,3.951
Apr-17-2006,3.951,3.951,3.951,3.951
Apr-18-2006,3.951,3.951,3.951,3.951
Apr-19-2006,3.925,3.925,3.925,3.925
Apr-20-2006,3.9330000000000003,3.9330000000000003,3.9330000000000003,3.9330000000000003
Apr-21-2006,3.925,3.925,3.925,3.925
Apr-24-2006,3.943,3.943,3.943,3.943
Apr-25-2006,3.925,3.925,3.925,3.925
Apr-26-2006,3.975,3.975,3.975,3.975
Apr-27-2006,3.984,3.984,3.984,3.984
Apr-28-2006,3.97,3.97,3.97,3.97
May-01-2006,3.951,3.951,3.951,3.951
May-02-2006,3.951,3.951,3.951,3.951
May-08-2006,3.9989999999999997,3.9989999999999997,3.9989999999999997,3.9989999999999997
May-09-2006,4.005,4.005,4.005,4.005
May-10-2006,4.016,4.016,4.016,4.016
May-11-2006,4.004,4.004,4.004,4.004
May-12-2006,4.061,4.061,4.061,4.061
