Date,Close,Open,High,Low
Feb-07-2006,7.858,7.95,7.97,7.7
Feb-08-2006,7.735,7.9,8.12,7.7
Feb-09-2006,7.479,7.69,7.8,7.3
Feb-10-2006,7.316,7.47,7.58,7.25
Feb-13-2006,7.242999999999999,7.41,7.47,7.16
Feb-14-2006,7.114,7.256,7.308,7.02
Feb-15-2006,7.066,7.0920000000000005,7.44,6.975
Feb-16-2006,7.1339999999999995,7.1,7.23,6.98
Feb-17-2006,7.182,7.18,7.36,7.09
Feb-20-2006,7.731,7.34,7.77,7.28
Feb-21-2006,7.731,7.34,7.77,7.28
Feb-22-2006,7.2829999999999995,7.76,7.85,7.17
Feb-23-2006,7.457999999999999,7.284,7.6,6.99
Feb-24-2006,7.112,7.42,7.551,6.9
Feb-27-2006,6.789,7.1,7.18,6.7
Feb-28-2006,6.7139999999999995,6.73,6.821000000000001,6.58
Mar-01-2006,6.733,6.7139999999999995,6.88,6.69
Mar-02-2006,6.76,6.772,6.92,6.54
Mar-03-2006,6.79,6.7620000000000005,6.85,6.61
Mar-06-2006,6.547000000000001,6.7,6.732,6.47
Mar-07-2006,6.678,6.541,6.75,6.501
Mar-08-2006,6.648,6.7,6.763999999999999,6.45
Mar-09-2006,6.601,6.641,6.72,6.48
Mar-10-2006,6.646,6.644,6.81,6.581
Mar-13-2006,7.007000000000001,6.72,7.09,6.69
Mar-14-2006,7.167000000000001,7.04,7.239,6.95
Mar-15-2006,7.143,7.17,7.21,7.03
Mar-16-2006,7.267,7.146,7.37,7.064
Mar-17-2006,7.053,7.24,7.31,7.04
Mar-20-2006,6.835,7.01,7.085,6.82
Mar-22-2006,6.952999999999999,6.91,7.13,6.87
Mar-23-2006,7.327999999999999,6.94,7.34,6.932
Mar-24-2006,7.29,7.35,7.49,7.16
Mar-27-2006,7.067,7.3,7.33,6.93
Mar-28-2006,7.2139999999999995,7.08,7.28,7.06
Mar-29-2006,7.233,7.263,7.37,7.15
Mar-30-2006,7.487,7.48,7.562,7.37
Mar-31-2006,7.21,7.49,7.49,7.2
Apr-03-2006,7.244,7.2,7.63,7.14
Apr-04-2006,7.065,7.22,7.22,6.97
Apr-05-2006,7.069,7.063,7.16,6.9
Apr-06-2006,6.972,7.08,7.25,6.95
Apr-07-2006,6.742999999999999,6.949,6.949,6.72
Apr-10-2006,6.882000000000001,6.726,6.94,6.65
Apr-11-2006,6.9079999999999995,6.919,7.02,6.79
Apr-12-2006,6.808,6.907,7.0,6.77
Apr-13-2006,7.135,6.78,7.15,6.65
Apr-14-2006,7.577000000000001,7.18,7.63,7.11
Apr-17-2006,7.577000000000001,7.18,7.63,7.11
Apr-18-2006,8.008,7.5520000000000005,8.1,7.55
Apr-19-2006,8.192,8.01,8.28,7.831
Apr-20-2006,8.064,8.19,8.232000000000001,7.875
Apr-21-2006,7.981,8.001,8.035,7.78
Apr-24-2006,7.558,8.03,8.074,7.52
Apr-25-2006,7.254,7.553999999999999,7.565,7.14
Apr-26-2006,7.1979999999999995,7.257000000000001,7.345,7.0
Apr-27-2006,6.805,7.22,7.254,6.79
Apr-28-2006,6.555,6.8,6.9,6.49
May-01-2006,6.695,6.5329999999999995,6.8,6.51
May-02-2006,6.746,6.707000000000001,6.895,6.6
May-08-2006,6.696000000000001,6.795,6.815,6.56
May-09-2006,6.581,6.705,6.72,6.56
May-10-2006,6.9,6.585,6.92,6.54
May-11-2006,6.649,6.9,7.034,6.56
May-12-2006,6.28,6.6339999999999995,6.6339999999999995,6.225
May-15-2006,6.122999999999999,6.3,6.34,6.045
May-16-2006,6.252000000000001,6.15,6.32,6.1
May-17-2006,6.129,6.287999999999999,6.419,6.1
May-18-2006,5.997000000000001,6.14,6.14,5.86
May-19-2006,5.962000000000001,6.001,6.09,5.88
May-22-2006,6.276,6.015,6.35,5.92
May-23-2006,6.257999999999999,6.28,6.44,6.14
