Date,Close,Open,High,Low
Feb-07-2006,63.09,65.1,65.1,63.0
Feb-08-2006,62.55,63.19,63.49,62.3
Feb-09-2006,62.62,62.57,63.7,62.34
Feb-10-2006,61.84,62.64,63.0,61.2
Feb-13-2006,61.24,62.1,62.18,60.85
Feb-14-2006,59.57,61.18,61.3,59.5
Feb-15-2006,57.65,59.49,60.05,57.6
Feb-16-2006,58.46,57.7,58.8,57.55
Feb-17-2006,59.88,58.8,60.0,58.68
Feb-20-2006,61.1,61.25,61.5,60.5
Feb-21-2006,61.1,61.25,61.5,60.5
Feb-22-2006,61.01,62.5,62.59,60.52
Feb-23-2006,60.54,60.91,61.15,59.7
Feb-24-2006,62.91,60.5,63.25,60.47
Feb-27-2006,61.0,62.8,62.85,60.85
Feb-28-2006,61.41,60.9,61.5,60.3
Mar-01-2006,61.97,61.58,62.35,61.46
Mar-02-2006,63.36,61.96,63.55,61.8
Mar-03-2006,63.67,63.53,63.79,62.7
Mar-06-2006,62.41,63.75,63.92,61.8
Mar-07-2006,61.58,62.32,62.75,61.1
Mar-08-2006,60.02,61.55,61.68,59.25
Mar-09-2006,60.47,60.01,60.9,59.55
Mar-10-2006,59.96,60.56,60.78,59.7
Mar-13-2006,61.77,60.05,61.9,59.58
Mar-14-2006,63.1,61.75,63.37,61.27
Mar-15-2006,62.17,62.94,63.2,62.0
Mar-16-2006,63.58,62.05,63.9,61.65
Mar-17-2006,62.77,63.45,63.7,62.7
Mar-20-2006,60.42,62.75,62.99,60.25
Mar-22-2006,61.77,62.28,62.85,61.61
Mar-23-2006,63.91,61.9,64.0,61.87
Mar-24-2006,64.26,63.87,64.75,63.4
Mar-27-2006,64.16,64.4,64.55,63.45
Mar-28-2006,66.07,64.22,66.2,64.05
Mar-29-2006,66.45,66.1,66.7,65.58
Mar-30-2006,67.15,66.51,67.3,66.05
Mar-31-2006,66.63,67.05,67.14,65.6
Apr-03-2006,66.74,66.25,67.9,66.2
Apr-04-2006,66.23,66.65,66.65,65.6
Apr-05-2006,67.07,66.2,67.25,65.74
Apr-06-2006,67.94,67.11,68.2,67.1
Apr-07-2006,67.39,67.85,67.85,66.65
Apr-10-2006,68.74,67.4,68.95,67.22
Apr-11-2006,68.98,68.67,69.45,68.0
Apr-12-2006,68.62,68.95,69.6,68.45
Apr-13-2006,69.32,68.52,69.4,67.87
Apr-14-2006,70.4,69.55,70.45,69.3
Apr-17-2006,70.4,69.55,70.45,69.3
Apr-18-2006,71.35,70.27,71.6,70.15
Apr-19-2006,72.17,71.29,72.4,70.7
Apr-20-2006,71.95,72.03,72.49,70.7
Apr-21-2006,75.17,73.5,75.35,72.73
Apr-24-2006,73.33,75.35,75.35,72.95
Apr-25-2006,72.88,73.28,74.0,71.75
Apr-26-2006,71.93,72.85,73.22,71.85
Apr-27-2006,70.97,71.93,72.01,70.75
Apr-28-2006,71.88,70.99,72.65,70.49
May-01-2006,73.7,71.7,73.75,71.42
May-02-2006,74.61,73.8,74.9,73.5
May-08-2006,69.77,70.05,70.56,68.25
May-09-2006,70.69,69.84,71.45,69.62
May-10-2006,72.13,70.65,72.2,69.65
May-11-2006,73.32,72.13,73.9,71.98
May-12-2006,72.04,73.1,73.35,71.65
May-15-2006,69.41,71.9,72.04,69.35
May-16-2006,69.53,69.21,70.7,68.51
May-17-2006,68.69,69.35,70.1,68.2
May-18-2006,69.45,68.65,69.5,67.85
May-19-2006,68.53,69.45,69.93,68.01
May-22-2006,69.23,68.52,69.9,67.42
May-23-2006,71.76,70.05,72.15,69.85
May-24-2006,69.86,71.58,71.65,69.8
May-25-2006,71.32,69.91,71.38,69.36
May-26-2006,71.37,71.3,71.9,70.86
May-29-2006,72.03,71.31,72.75,71.2
May-30-2006,72.03,71.31,72.75,71.2
May-31-2006,71.29,71.95,72.16,70.05
Jun-01-2006,70.34,71.26,71.9,70.05
Jun-02-2006,72.33,70.25,72.7,70.07
Jun-05-2006,72.6,72.7,73.84,72.1
Jun-06-2006,72.5,72.64,72.9,71.35
Jun-07-2006,70.82,72.4,72.58,70.5
Jun-08-2006,70.35,70.86,70.9,69.1
Jun-09-2006,71.63,70.28,71.8,69.95
Jun-12-2006,70.36,71.6,72.32,70.2
Jun-13-2006,68.56,70.24,70.43,68.3
Jun-14-2006,69.14,68.45,69.4,68.1
Jun-15-2006,69.5,69.03,70.25,69.0
Jun-16-2006,69.88,69.58,70.45,68.8
Jun-19-2006,68.98,69.87,70.11,68.55
Jun-20-2006,68.94,69.01,69.89,68.55
Jun-21-2006,70.33,69.34,70.75,68.8
Jun-22-2006,70.84,70.34,71.2,70.05
Jun-23-2006,70.87,70.85,71.3,70.28
Jun-26-2006,71.8,70.86,71.9,70.4
Jun-27-2006,71.92,71.74,72.5,71.6
Jun-28-2006,72.19,71.91,72.77,71.6
Jun-29-2006,73.52,72.2,73.55,72.15
Jun-30-2006,73.93,73.51,74.15,73.35
Jul-03-2006,73.93,73.51,74.15,73.35
Jul-04-2006,75.19,73.95,75.4,73.38
Jul-05-2006,75.19,73.95,75.4,73.38
Jul-06-2006,75.14,75.2,75.35,74.3
Jul-07-2006,74.09,75.02,75.78,73.85
Jul-10-2006,73.61,73.94,73.95,72.9
Jul-11-2006,74.16,73.51,74.6,73.34
Jul-12-2006,74.95,74.03,75.05,73.8
Jul-13-2006,76.7,74.98,76.85,74.91
Jul-14-2006,77.03,76.67,78.4,76.67
Jul-18-2006,73.54,75.2,76.55,73.5
Jul-19-2006,72.66,73.9,74.11,71.65
Jul-20-2006,73.08,73.0,73.5,72.05
Jul-21-2006,74.43,74.07,75.2,73.9
Jul-24-2006,75.05,74.45,75.2,73.5
Jul-25-2006,73.75,75.1,75.78,73.55
Jul-26-2006,73.94,73.8,74.8,73.52
Jul-27-2006,74.54,73.9,74.92,73.72
Jul-28-2006,73.24,74.5,74.85,72.8
Jul-31-2006,74.4,73.5,74.48,72.77
Aug-01-2006,74.91,74.4,75.45,74.02
Aug-02-2006,75.81,74.92,76.5,74.9
Aug-03-2006,75.46,76.0,76.19,74.65
Aug-04-2006,74.76,75.6,75.68,74.15
Aug-07-2006,76.98,74.78,77.3,74.55
Aug-08-2006,76.31,77.05,77.45,76.15
Aug-09-2006,76.35,76.33,77.4,76.05
Aug-10-2006,74.0,76.25,76.52,73.9
Aug-11-2006,74.35,74.0,74.81,73.75
Aug-14-2006,73.53,73.79,73.95,72.6
Aug-15-2006,73.05,73.38,73.9,72.82
Aug-16-2006,71.89,72.93,73.15,71.53
Aug-17-2006,70.06,71.65,71.75,70.0
Aug-18-2006,71.14,70.48,71.19,69.6
Aug-21-2006,72.45,71.22,72.56,71.14
Aug-22-2006,72.63,72.45,72.85,72.1
Aug-23-2006,71.76,72.85,72.94,71.1
Aug-24-2006,72.36,71.65,73.0,71.37
Aug-25-2006,72.51,72.8,73.75,72.38
Aug-28-2006,70.61,72.2,72.2,70.15
Aug-29-2006,69.71,70.46,70.9,69.3
Aug-30-2006,70.03,69.77,70.53,68.65
Aug-31-2006,70.26,70.45,70.82,69.35
Sep-01-2006,69.19,70.29,70.66,69.01
Sep-04-2006,68.6,69.25,69.59,67.77
Sep-05-2006,68.6,69.25,69.59,67.77
Sep-06-2006,67.5,68.65,68.85,67.45
Sep-07-2006,67.32,67.55,67.98,66.76
Sep-08-2006,66.25,67.2,67.6,66.0
Sep-11-2006,65.61,66.01,66.5,64.85
Sep-12-2006,63.76,65.59,66.44,63.59
Sep-13-2006,63.97,63.84,64.75,63.5
Sep-14-2006,63.22,64.27,64.65,63.0
Sep-15-2006,63.33,63.45,63.66,62.03
Sep-19-2006,61.66,63.85,64.46,61.55
Sep-20-2006,60.46,61.7,61.83,60.0
Sep-21-2006,61.59,60.81,61.8,60.65
Sep-22-2006,60.55,61.71,62.26,60.19
Sep-25-2006,61.45,60.25,62.15,59.52
Sep-26-2006,61.01,61.44,62.0,60.6
Sep-27-2006,62.96,61.14,63.1,60.1
Sep-28-2006,62.76,62.99,64.0,62.39
Sep-29-2006,62.91,62.7,63.1,61.45
Oct-02-2006,61.03,62.8,63.32,60.84
Oct-03-2006,58.68,60.9,61.15,58.43
Oct-04-2006,59.41,58.5,59.78,57.75
Oct-05-2006,60.03,59.76,60.97,59.34
Oct-06-2006,59.76,60.04,60.28,58.84
Oct-10-2006,58.52,59.95,60.68,58.4
Oct-11-2006,57.59,58.52,59.1,57.37
Oct-12-2006,57.86,57.4,58.47,57.22
Oct-13-2006,58.57,58.34,59.46,58.06
Oct-16-2006,59.94,58.86,60.12,58.06
Oct-17-2006,58.93,60.05,60.54,58.65
Oct-18-2006,57.65,59.1,59.5,57.35
Oct-19-2006,58.5,57.72,58.95,57.45
Oct-20-2006,56.82,58.61,59.4,56.55
Oct-23-2006,58.81,59.43,59.47,58.12
Oct-24-2006,59.35,58.89,59.7,58.42
Oct-25-2006,61.4,59.5,61.65,59.23
Oct-26-2006,60.36,61.58,61.79,60.1
Oct-27-2006,60.75,60.3,61.0,59.85
