Date,Close,Open,High,Low
Feb-07-2006,0.5736,0.572,0.5746,0.5708
Feb-08-2006,0.5742,0.573,0.5755,0.5722
Feb-09-2006,0.5745,0.5741,0.5756,0.5725
Feb-10-2006,0.5734,0.5743,0.5745,0.5688
Feb-13-2006,0.5742,0.5733,0.5759,0.5729
Feb-14-2006,0.5759,0.5743,0.5787,0.5731
Feb-15-2006,0.5745,0.5758,0.5769,0.5717
Feb-16-2006,0.5748,0.5743,0.5777,0.5741
Feb-17-2006,0.5742,0.5748,0.577,0.5737
Feb-20-2006,0.5733,0.5742,0.5745,0.5725
Feb-21-2006,0.5727,0.5734,0.5743,0.572
Feb-22-2006,0.5737,0.5727,0.5756,0.5724
Feb-23-2006,0.5706,0.5734,0.5743,0.5695
Feb-24-2006,0.5731,0.5707,0.5739,0.5702
Feb-27-2006,0.5748,0.5733,0.5755,0.5729
Feb-28-2006,0.5702,0.5747,0.5755,0.5691
Mar-01-2006,0.5717,0.5702,0.5726,0.5683
Mar-02-2006,0.5698,0.5715,0.5736,0.5697
Mar-03-2006,0.5699,0.5701,0.5715,0.5685
Mar-06-2006,0.5715,0.5692,0.5726,0.5673
Mar-07-2006,0.576,0.5713,0.5771,0.571
Mar-08-2006,0.5755,0.576,0.5766,0.574
Mar-09-2006,0.5758,0.5752,0.5766,0.5742
Mar-10-2006,0.5791,0.5762,0.5804,0.5746
Mar-13-2006,0.5772,0.5792,0.5803,0.5768
Mar-14-2006,0.5726,0.577,0.5771,0.5718
Mar-15-2006,0.5722,0.5726,0.5741,0.5715
Mar-16-2006,0.5691,0.5721,0.5734,0.5682
Mar-17-2006,0.5693,0.569,0.5711,0.5687
Mar-20-2006,0.5693,0.5693,0.5706,0.5685
Mar-22-2006,0.5723,0.5721,0.5729,0.5711
Mar-23-2006,0.5763,0.5723,0.5771,0.5721
Mar-24-2006,0.5737,0.5766,0.5777,0.5732
Mar-27-2006,0.5725,0.5737,0.5742,0.5715
Mar-28-2006,0.5735,0.5724,0.5739,0.5701
Mar-29-2006,0.5766,0.5737,0.5775,0.5732
Mar-30-2006,0.5724,0.5766,0.5768,0.5719
Mar-31-2006,0.5753,0.5725,0.5769,0.572
Apr-03-2006,0.5747,0.5756,0.5796,0.5744
Apr-04-2006,0.5698,0.5747,0.5757,0.5688
Apr-05-2006,0.57,0.5697,0.5721,0.5675
Apr-06-2006,0.5706,0.57,0.5718,0.5682
Apr-07-2006,0.5736,0.5707,0.5749,0.5702
Apr-10-2006,0.5734,0.5738,0.5756,0.5722
Apr-11-2006,0.5718,0.5733,0.5749,0.5715
Apr-12-2006,0.5714,0.5719,0.5727,0.5689
Apr-13-2006,0.5706,0.5712,0.5719,0.5692
Apr-14-2006,0.5711,0.5705,0.5713,0.5702
Apr-17-2006,0.5647,0.5703,0.5705,0.5633
Apr-18-2006,0.5606,0.5647,0.5656,0.5605
Apr-19-2006,0.5577,0.5608,0.5619,0.5574
Apr-20-2006,0.5623,0.5578,0.5633,0.5578
Apr-21-2006,0.5613,0.5623,0.5633,0.5603
Apr-24-2006,0.5593,0.5594,0.5621,0.5576
Apr-25-2006,0.5594,0.5598,0.5609,0.5572
Apr-26-2006,0.5605,0.5593,0.5617,0.5582
Apr-27-2006,0.5551,0.5606,0.5612,0.554
Apr-28-2006,0.5475,0.5551,0.5555,0.5473
May-01-2006,0.5477,0.5482,0.5493,0.5429
May-02-2006,0.5434,0.5482,0.5493,0.5426
May-08-2006,0.5383,0.5369,0.5392,0.535
May-09-2006,0.5355,0.5382,0.5401,0.5349
May-10-2006,0.5363,0.5355,0.5375,0.5337
May-11-2006,0.5313,0.5362,0.5396,0.5302
May-12-2006,0.5275,0.5313,0.5314,0.5262
May-15-2006,0.5322,0.5272,0.533,0.5263
May-16-2006,0.5296,0.532,0.5335,0.5291
May-17-2006,0.5313,0.5295,0.5325,0.5255
May-18-2006,0.5275,0.5316,0.5321,0.5273
May-19-2006,0.5326,0.5276,0.5347,0.5274
May-22-2006,0.5299,0.5326,0.5366,0.5294
May-23-2006,0.532,0.5301,0.5325,0.5294
May-24-2006,0.5354,0.532,0.5362,0.5301
May-25-2006,0.5339,0.535,0.5357,0.5334
May-26-2006,0.5378,0.5331,0.5396,0.5325
May-29-2006,0.5377,0.5382,0.5388,0.5363
May-30-2006,0.5307,0.538,0.5383,0.5299
May-31-2006,0.5347,0.5309,0.5352,0.5302
Jun-01-2006,0.5361,0.5344,0.5386,0.5339
Jun-02-2006,0.5313,0.5359,0.5373,0.5301
Jun-05-2006,0.5341,0.5308,0.5343,0.5296
Jun-06-2006,0.5378,0.534,0.538,0.5326
Jun-07-2006,0.5388,0.5374,0.5397,0.5362
Jun-08-2006,0.5423,0.5386,0.5444,0.5382
Jun-09-2006,0.5431,0.5423,0.5445,0.5409
Jun-12-2006,0.543,0.5437,0.5441,0.5414
Jun-13-2006,0.5454,0.5428,0.546,0.5417
Jun-14-2006,0.5426,0.545,0.5455,0.5405
