Date;Close;Open;High;Low;;;Date;Close;Open;High;Low
Apr-30-2021;63.58;64.88;64.95;63.08;;;Apr-30-2021;63.58;64.88;64.95;63.08
Apr-29-2021;65.01;63.70;65.47;63.65;;;Apr-28-2021;63.86;63.04;64.53;62.67
Apr-28-2021;63.86;63.04;64.53;62.67;;;Apr-27-2021;62.94;61.97;63.30;61.91
Apr-27-2021;62.94;61.97;63.30;61.91;;;Apr-26-2021;61.91;62.06;62.31;60.66
Apr-26-2021;61.91;62.06;62.31;60.66;;;Apr-23-2021;62.14;61.65;62.43;61.25
Apr-23-2021;62.14;61.65;62.43;61.25;;;Apr-22-2021;61.43;61.11;61.87;60.61
Apr-22-2021;61.43;61.11;61.87;60.61;;;Apr-21-2021;61.35;62.39;62.56;60.86
Apr-21-2021;61.35;62.39;62.56;60.86;;;Apr-20-2021;62.44;63.47;64.25;61.50
Apr-20-2021;62.44;63.47;64.25;61.50;;;Apr-19-2021;63.38;62.98;63.63;62.63
Apr-19-2021;63.38;62.98;63.63;62.63;;;Apr-16-2021;63.13;63.32;63.88;62.83
Apr-16-2021;63.13;63.32;63.88;62.83;;;Apr-15-2021;63.46;62.83;63.57;62.53
Apr-15-2021;63.46;62.83;63.57;62.53;;;Apr-14-2021;63.15;60.44;63.44;60.38
Apr-14-2021;63.15;60.44;63.44;60.38;;;Apr-13-2021;60.18;59.64;60.59;59.64
Apr-13-2021;60.18;59.64;60.59;59.64;;;Apr-12-2021;59.70;59.35;60.77;58.73
Apr-12-2021;59.70;59.35;60.77;58.73;;;Apr-09-2021;59.32;59.76;59.95;59.10
Apr-09-2021;59.32;59.76;59.95;59.10;;;Apr-08-2021;59.60;59.52;59.93;58.82
Apr-08-2021;59.60;59.52;59.93;58.82;;;Apr-07-2021;59.77;59.26;60.04;58.12
Apr-07-2021;59.77;59.26;60.04;58.12;;;Apr-06-2021;59.33;58.80;60.90;58.62
Apr-06-2021;59.33;58.80;60.90;58.62;;;Apr-05-2021;58.65;61.50;61.50;57.63
Apr-05-2021;58.65;61.50;61.50;57.63;;;Apr-02-2021;#N/A;#N/A;#N/A;#N/A
