Date;Close;Open;High;Low;;;Date;Close;Open;High;Low;;;;;;
Apr-30-2021;-0,2;-0,195;-0,189;-0,212;;;Apr-30-2021;-0,2;-0,195;-0,189;-0,212;;;;;;
Apr-29-2021;-0,192;-0,23;-0,177;-0,233;;;Apr-28-2021;-0,231;-0,238;-0,203;-0,244;;;;;;
Apr-28-2021;-0,231;-0,238;-0,203;-0,244;;;Apr-27-2021;-0,252;-0,251;-0,243;-0,262;;;;;;
Apr-27-2021;-0,252;-0,251;-0,243;-0,262;;;Apr-26-2021;-0,255;-0,25;-0,231;-0,264;;;;;;
Apr-26-2021;-0,255;-0,25;-0,231;-0,264;;;Apr-23-2021;-0,257;-0,267;-0,247;-0,276;;;;;;
Apr-23-2021;-0,257;-0,267;-0,247;-0,276;;;Apr-22-2021;-0,255;-0,283;-0,238;-0,287;;;;;;
Apr-22-2021;-0,255;-0,283;-0,238;-0,287;;;Apr-21-2021;-0,259;-0,26;-0,243;-0,277;;;;;;
Apr-21-2021;-0,259;-0,26;-0,243;-0,277;;;Apr-20-2021;-0,257;-0,217;-0,215;-0,259;;;;;;
Apr-20-2021;-0,257;-0,217;-0,215;-0,259;;;Apr-19-2021;-0,236;-0,269;-0,216;-0,276;;;;;;
Apr-19-2021;-0,236;-0,269;-0,216;-0,276;;;Apr-16-2021;-0,262;-0,289;-0,259;-0,293;;;;;;
Apr-16-2021;-0,262;-0,289;-0,259;-0,293;;;Apr-15-2021;-0,293;-0,258;-0,249;-0,295;;;;;;
Apr-15-2021;-0,293;-0,258;-0,249;-0,295;;;Apr-14-2021;-0,263;-0,31;-0,26;-0,312;;;;;;
Apr-14-2021;-0,263;-0,31;-0,26;-0,312;;;Apr-13-2021;-0,289;-0,286;-0,271;-0,302;;;;;;
Apr-13-2021;-0,289;-0,286;-0,271;-0,302;;;Apr-12-2021;-0,293;-0,301;-0,288;-0,33;;;;;;
Apr-12-2021;-0,293;-0,301;-0,288;-0,33;;;Apr-09-2021;-0,297;-0,332;-0,283;-0,335;;;;;;
Apr-09-2021;-0,297;-0,332;-0,283;-0,335;;;Apr-08-2021;-0,334;-0,317;-0,317;-0,347;;;;;;
Apr-08-2021;-0,334;-0,317;-0,317;-0,347;;;Apr-07-2021;-0,318;-0,317;-0,314;-0,343;;;;;;
Apr-07-2021;-0,318;-0,317;-0,314;-0,343;;;Apr-06-2021;-0,315;-0,322;-0,294;-0,333;;;;;;
Apr-06-2021;-0,315;-0,322;-0,294;-0,333;;;Apr-05-2021;-0,3285;-0,327;-0,327;-0,3285;;;;;;
Apr-05-2021;-0,3285;-0,327;-0,327;-0,3285;;;Apr-02-2021;-0,3285;-0,327;-0,326;-0,3285;;;;;;
Apr-02-2021;-0,3285;-0,327;-0,326;-0,3285;;;Apr-01-2021;-0,325;-0,289;-0,286;-0,331;;;;;;
Apr-01-2021;-0,325;-0,289;-0,286;-0,331;;;Mar-31-2021;-0,292;-0,281;-0,267;-0,302;;;;;;
Mar-31-2021;-0,292;-0,281;-0,267;-0,302;;;Mar-30-2021;-0,277;-0,294;-0,258;-0,302;;;;;;
Mar-30-2021;-0,277;-0,294;-0,258;-0,302;;;Mar-29-2021;-0,32;-0,353;-0,315;-0,37;;;;;;
Mar-29-2021;-0,32;-0,353;-0,315;-0,37;;;Mar-26-2021;-0,349;-0,382;-0,337;-0,385;;;;;;
Mar-26-2021;-0,349;-0,382;-0,337;-0,385;;;Mar-25-2021;-0,385;-0,352;-0,352;-0,39;;;;;;
Mar-25-2021;-0,385;-0,352;-0,352;-0,39;;;Mar-24-2021;-0,356;-0,358;-0,339;-0,375;;;;;;
Mar-24-2021;-0,356;-0,358;-0,339;-0,375;;;Mar-23-2021;-0,342;-0,319;-0,311;-0,357;;;;;;
Mar-23-2021;-0,342;-0,319;-0,311;-0,357;;;Mar-22-2021;-0,31;-0,294;-0,294;-0,333;;;;;;
Mar-22-2021;-0,31;-0,294;-0,294;-0,333;;;Mar-19-2021;-0,294;-0,287;-0,278;-0,31;;;;;;
Mar-19-2021;-0,294;-0,287;-0,278;-0,31;;;Mar-18-2021;-0,265;-0,297;-0,249;-0,302;;;;;;
Mar-18-2021;-0,265;-0,297;-0,249;-0,302;;;Mar-17-2021;-0,293;-0,331;-0,285;-0,339;;;;;;
Mar-17-2021;-0,293;-0,331;-0,285;-0,339;;;Mar-16-2021;-0,339;-0,342;-0,328;-0,351;;;;;;
Mar-16-2021;-0,339;-0,342;-0,328;-0,351;;;Mar-15-2021;-0,337;-0,306;-0,3;-0,346;;;;;;
Mar-15-2021;-0,337;-0,306;-0,3;-0,346;;;Mar-12-2021;-0,295;-0,318;-0,291;-0,324;;;;;;
Mar-12-2021;-0,295;-0,318;-0,291;-0,324;;;Mar-11-2021;-0,331;-0,315;-0,308;-0,367;;;;;;
Mar-11-2021;-0,331;-0,315;-0,308;-0,367;;;Mar-10-2021;-0,311;-0,3;-0,291;-0,322;;;;;;
Mar-10-2021;-0,311;-0,3;-0,291;-0,322;;;Mar-09-2021;-0,303;-0,277;-0,277;-0,334;;;;;;
Mar-09-2021;-0,303;-0,277;-0,277;-0,334;;;Mar-08-2021;-0,28;-0,301;-0,273;-0,302;;;;;;
Mar-08-2021;-0,28;-0,301;-0,273;-0,302;;;Mar-05-2021;-0,304;-0,312;-0,273;-0,313;;;;;;
Mar-05-2021;-0,304;-0,312;-0,273;-0,313;;;Mar-04-2021;-0,311;-0,293;-0,286;-0,33;;;;;;
Mar-04-2021;-0,311;-0,293;-0,286;-0,33;;;Mar-03-2021;-0,297;-0,355;-0,28;-0,361;;;;;;
Mar-03-2021;-0,297;-0,355;-0,28;-0,361;;;Mar-02-2021;-0,348;-0,335;-0,306;-0,352;;;;;;
Mar-02-2021;-0,348;-0,335;-0,306;-0,352;;;Mar-01-2021;-0,333;-0,296;-0,279;-0,346;;;;;;
Mar-01-2021;-0,333;-0,296;-0,279;-0,346;;;Feb-26-2021;-0,257;-0,221;-0,203;-0,287;;;;;;
Feb-26-2021;-0,257;-0,221;-0,203;-0,287;;;Feb-25-2021;-0,227;-0,295;-0,214;-0,304;;;;;;
Feb-25-2021;-0,227;-0,295;-0,214;-0,304;;;Feb-24-2021;-0,304;-0,328;-0,274;-0,334;;;;;;
Feb-24-2021;-0,304;-0,328;-0,274;-0,334;;;Feb-22-2021;-0,346;-0,284;-0,278;-0,362;;;;;;
Feb-23-2021;-0,319;-0,337;-0,287;-0,339;;;Feb-19-2021;-0,313;-0,322;-0,306;-0,338;;;;;;
Feb-22-2021;-0,346;-0,284;-0,278;-0,362;;;Feb-18-2021;-0,342;-0,366;-0,323;-0,372;;;;;;
Feb-19-2021;-0,313;-0,322;-0,306;-0,338;;;Feb-17-2021;-0,363;-0,342;-0,329;-0,373;;;;;;
Feb-18-2021;-0,342;-0,366;-0,323;-0,372;;;Feb-16-2021;-0,349;-0,388;-0,346;-0,398;;;;;;
Feb-17-2021;-0,363;-0,342;-0,329;-0,373;;;Feb-15-2021;-0,384;-0,396;-0,376;-0,402;;;;;;
Feb-16-2021;-0,349;-0,388;-0,346;-0,398;;;Feb-12-2021;-0,43;-0,457;-0,421;-0,467;;;;;;
Feb-15-2021;-0,384;-0,396;-0,376;-0,402;;;Feb-10-2021;-0,438;-0,442;-0,427;-0,459;;;;;;
Feb-12-2021;-0,43;-0,457;-0,421;-0,467;;;Feb-09-2021;-0,448;-0,439;-0,428;-0,458;;;;;;
Feb-11-2021;-0,458;-0,435;-0,435;-0,474;;;Feb-08-2021;-0,443;-0,427;-0,412;-0,446;;;;;;
Feb-10-2021;-0,438;-0,442;-0,427;-0,459;;;Feb-05-2021;-0,443;-0,46;-0,413;-0,468;;;;;;
Feb-09-2021;-0,448;-0,439;-0,428;-0,458;;;Feb-04-2021;-0,456;-0,463;-0,442;-0,474;;;;;;
Feb-08-2021;-0,443;-0,427;-0,412;-0,446;;;Feb-03-2021;-0,467;-0,475;-0,462;-0,486;;;;;;
Feb-05-2021;-0,443;-0,46;-0,413;-0,468;;;Feb-02-2021;-0,488;-0,507;-0,477;-0,516;;;;;;
Feb-04-2021;-0,456;-0,463;-0,442;-0,474;;;Feb-01-2021;-0,513;-0,519;-0,498;-0,527;;;;;;
Feb-03-2021;-0,467;-0,475;-0,462;-0,486;;;Jan-29-2021;-0,52;-0,536;-0,492;-0,54;;;;;;
Feb-02-2021;-0,488;-0,507;-0,477;-0,516;;;Jan-28-2021;-0,542;-0,551;-0,534;-0,56;;;;;;
Feb-01-2021;-0,513;-0,519;-0,498;-0,527;;;Jan-27-2021;-0,549;-0,53;-0,523;-0,567;;;;;;
Jan-29-2021;-0,52;-0,536;-0,492;-0,54;;;Jan-26-2021;-0,531;-0,556;-0,525;-0,561;;;;;;
Jan-28-2021;-0,542;-0,551;-0,534;-0,56;;;Jan-25-2021;-0,55;-0,512;-0,508;-0,555;;;;;;
Jan-27-2021;-0,549;-0,53;-0,523;-0,567;;;Jan-22-2021;-0,513;-0,492;-0,486;-0,52;;;;;;
Jan-26-2021;-0,531;-0,556;-0,525;-0,561;;;Jan-21-2021;-0,498;-0,533;-0,486;-0,537;;;;;;
Jan-25-2021;-0,55;-0,512;-0,508;-0,555;;;Jan-20-2021;-0,529;-0,522;-0,517;-0,533;;;;;;
Jan-22-2021;-0,513;-0,492;-0,486;-0,52;;;Jan-19-2021;-0,527;-0,519;-0,508;-0,529;;;;;;
Jan-21-2021;-0,498;-0,533;-0,486;-0,537;;;Jan-18-2021;-0,525;-0,545;-0,515;-0,552;;;;;;
Jan-20-2021;-0,529;-0,522;-0,517;-0,533;;;Jan-15-2021;-0,542;-0,554;-0,529;-0,56;;;;;;
Jan-19-2021;-0,527;-0,519;-0,508;-0,529;;;Jan-14-2021;-0,548;-0,525;-0,521;-0,562;;;;;;
Jan-18-2021;-0,525;-0,545;-0,515;-0,552;;;Jan-13-2021;-0,524;-0,485;-0,481;-0,527;;;;;;
Jan-15-2021;-0,542;-0,554;-0,529;-0,56;;;Jan-12-2021;-0,469;-0,488;-0,459;-0,496;;;;;;
Jan-14-2021;-0,548;-0,525;-0,521;-0,562;;;Jan-08-2021;-0,517;-0,512;-0,51;-0,533;;;;;;
Jan-13-2021;-0,524;-0,485;-0,481;-0,527;;;Jan-07-2021;-0,546;-0,546;-0,536;-0,574;;;;;;
Jan-12-2021;-0,469;-0,488;-0,459;-0,496;;;Jan-06-2021;-0,546;-0,538;-0,53;-0,565;;;;;;
Jan-11-2021;-0,491;-0,526;-0,49;-0,535;;;Jan-05-2021;-0,584;-0,601;-0,576;-0,607;;;;;;
Jan-08-2021;-0,517;-0,512;-0,51;-0,533;;;Jan-04-2021;-0,599;-0,57;-0,56;-0,615;;;;;;
Jan-07-2021;-0,546;-0,546;-0,536;-0,574;;;Dec-30-2020;-0,57;-0,576;-0,545;-0,582;;;;;;
Jan-06-2021;-0,546;-0,538;-0,53;-0,565;;;Dec-29-2020;-0,576;-0,568;-0,56;-0,58;;;;;;
Jan-05-2021;-0,584;-0,601;-0,576;-0,607;;;Dec-28-2020;-0,563;-0,541;-0,539;-0,564;;;;;;
Jan-04-2021;-0,599;-0,57;-0,56;-0,615;;;Dec-25-2020;#N/A;#N/A;#N/A;#N/A;;;;;;
Jan-01-2021;-0,572;-0,572;-0,572;-0,572;;;Dec-24-2020;-0,55;-0,551;-0,55;-0,551;;;;;;
Dec-31-2020;-0,575;-0,575;-0,568;-0,575;;;Dec-23-2020;-0,543;-0,598;-0,531;-0,606;;;;;;
Dec-30-2020;-0,57;-0,576;-0,545;-0,582;;;Dec-22-2020;-0,591;-0,586;-0,567;-0,6;;;;;;
Dec-29-2020;-0,576;-0,568;-0,56;-0,58;;;Dec-21-2020;-0,581;-0,599;-0,576;-0,62;;;;;;
Dec-28-2020;-0,563;-0,541;-0,539;-0,564;;;Dec-18-2020;-0,572;-0,581;-0,545;-0,583;;;;;;
Dec-24-2020;-0,55;-0,551;-0,55;-0,551;;;Dec-17-2020;-0,577;-0,562;-0,548;-0,593;;;;;;
Dec-23-2020;-0,543;-0,598;-0,531;-0,606;;;Dec-16-2020;-0,568;-0,61;-0,546;-0,613;;;;;;
Dec-22-2020;-0,591;-0,586;-0,567;-0,6;;;Dec-15-2020;-0,61;-0,618;-0,602;-0,63;;;;;;
Dec-21-2020;-0,581;-0,599;-0,576;-0,62;;;Dec-14-2020;-0,618;-0,616;-0,599;-0,635;;;;;;
Dec-18-2020;-0,572;-0,581;-0,545;-0,583;;;Dec-11-2020;-0,638;-0,606;-0,601;-0,643;;;;;;
Dec-17-2020;-0,577;-0,562;-0,548;-0,593;;;Dec-10-2020;-0,602;-0,613;-0,579;-0,631;;;;;;
Dec-16-2020;-0,568;-0,61;-0,546;-0,613;;;Dec-09-2020;-0,605;-0,594;-0,584;-0,61;;;;;;
Dec-15-2020;-0,61;-0,618;-0,602;-0,63;;;Dec-08-2020;-0,613;-0,58;-0,576;-0,617;;;;;;
Dec-14-2020;-0,618;-0,616;-0,599;-0,635;;;Dec-07-2020;-0,585;-0,556;-0,547;-0,587;;;;;;
Dec-11-2020;-0,638;-0,606;-0,601;-0,643;;;Dec-04-2020;-0,543;-0,557;-0,535;-0,566;;;;;;
Dec-10-2020;-0,602;-0,613;-0,579;-0,631;;;Dec-03-2020;-0,548;-0,528;-0,517;-0,552;;;;;;
Dec-09-2020;-0,605;-0,594;-0,584;-0,61;;;Dec-02-2020;-0,521;-0,518;-0,505;-0,532;;;;;;
Dec-08-2020;-0,613;-0,58;-0,576;-0,617;;;Dec-01-2020;-0,524;-0,572;-0,516;-0,582;;;;;;
Dec-07-2020;-0,585;-0,556;-0,547;-0,587;;;Nov-30-2020;-0,571;-0,586;-0,562;-0,6;;;;;;
Dec-04-2020;-0,543;-0,557;-0,535;-0,566;;;Nov-27-2020;-0,585;-0,588;-0,573;-0,595;;;;;;
Dec-03-2020;-0,548;-0,528;-0,517;-0,552;;;Nov-26-2020;-0,587;-0,566;-0,556;-0,589;;;;;;
Dec-02-2020;-0,521;-0,518;-0,505;-0,532;;;Nov-25-2020;-0,572;-0,561;-0,546;-0,581;;;;;;
Dec-01-2020;-0,524;-0,572;-0,516;-0,582;;;Nov-24-2020;-0,565;-0,562;-0,558;-0,581;;;;;;
Nov-30-2020;-0,571;-0,586;-0,562;-0,6;;;Nov-20-2020;-0,583;-0,572;-0,562;-0,588;;;;;;
Nov-27-2020;-0,585;-0,588;-0,573;-0,595;;;Nov-19-2020;-0,569;-0,56;-0,551;-0,576;;;;;;
Nov-26-2020;-0,587;-0,566;-0,556;-0,589;;;Nov-18-2020;-0,554;-0,577;-0,544;-0,579;;;;;;
Nov-25-2020;-0,572;-0,561;-0,546;-0,581;;;Nov-17-2020;-0,561;-0,544;-0,535;-0,566;;;;;;
Nov-24-2020;-0,565;-0,562;-0,558;-0,581;;;Nov-16-2020;-0,545;-0,554;-0,509;-0,569;;;;;;
Nov-23-2020;-0,578;-0,59;-0,562;-0,592;;;Nov-13-2020;-0,548;-0,546;-0,53;-0,562;;;;;;
Nov-21-2020;-0,584;-0,584;-0,584;-0,584;;;Nov-12-2020;-0,535;-0,522;-0,497;-0,535;;;;;;
Nov-20-2020;-0,583;-0,572;-0,562;-0,588;;;Nov-11-2020;-0,503;-0,483;-0,456;-0,514;;;;;;
Nov-19-2020;-0,569;-0,56;-0,551;-0,576;;;Nov-10-2020;-0,48;-0,516;-0,473;-0,519;;;;;;
Nov-18-2020;-0,554;-0,577;-0,544;-0,579;;;Nov-09-2020;-0,508;-0,619;-0,496;-0,644;;;;;;
Nov-17-2020;-0,561;-0,544;-0,535;-0,566;;;Nov-06-2020;-0,617;-0,637;-0,601;-0,647;;;;;;
Nov-16-2020;-0,545;-0,554;-0,509;-0,569;;;Nov-05-2020;-0,634;-0,646;-0,617;-0,658;;;;;;
Nov-13-2020;-0,548;-0,546;-0,53;-0,562;;;Nov-04-2020;-0,638;-0,645;-0,615;-0,671;;;;;;
Nov-12-2020;-0,535;-0,522;-0,497;-0,535;;;Nov-02-2020;-0,638;-0,626;-0,607;-0,639;;;;;;
Nov-11-2020;-0,503;-0,483;-0,456;-0,514;;;Oct-30-2020;-0,625;-0,639;-0,606;-0,639;;;;;;
Nov-10-2020;-0,48;-0,516;-0,473;-0,519;;;Oct-29-2020;-0,637;-0,611;-0,611;-0,646;;;;;;
Nov-09-2020;-0,508;-0,619;-0,496;-0,644;;;Oct-28-2020;-0,628;-0,621;-0,61;-0,646;;;;;;
Nov-06-2020;-0,617;-0,637;-0,601;-0,647;;;Oct-27-2020;-0,612;-0,576;-0,566;-0,615;;;;;;
