Date;Close;Open;High;Low;;;Date;Close;Open;High;Low
Apr-30-2021;0.089;0.092;0.095;0.089;;;Apr-30-2021;0.089;0.092;0.095;0.089
Apr-29-2021;0.087;0.087;0.087;0.087;;;Apr-28-2021;0.095;0.084;0.096;0.084
Apr-28-2021;0.095;0.084;0.096;0.084;;;Apr-27-2021;0.080;0.077;0.085;0.075
Apr-27-2021;0.080;0.077;0.085;0.075;;;Apr-26-2021;0.074;0.062;0.074;0.062
Apr-26-2021;0.074;0.062;0.074;0.062;;;Apr-23-2021;0.069;0.068;0.069;0.059
Apr-25-2021;0.062;0.060;0.062;0.060;;;Apr-22-2021;0.069;0.074;0.074;0.064
Apr-23-2021;0.069;0.068;0.069;0.059;;;Apr-21-2021;0.069;0.083;0.083;0.064
Apr-22-2021;0.069;0.074;0.074;0.064;;;Apr-20-2021;0.084;0.086;0.090;0.079
Apr-21-2021;0.069;0.083;0.083;0.064;;;Apr-19-2021;0.084;0.094;0.094;0.083
Apr-20-2021;0.084;0.086;0.090;0.079;;;Apr-16-2021;0.088;0.082;0.090;0.080
Apr-19-2021;0.084;0.094;0.094;0.083;;;Apr-15-2021;0.089;0.093;0.094;0.085
Apr-18-2021;0.086;0.090;0.090;0.086;;;Apr-14-2021;0.087;0.094;0.095;0.084
Apr-16-2021;0.088;0.082;0.090;0.080;;;Apr-13-2021;0.104;0.109;0.111;0.100
Apr-15-2021;0.089;0.093;0.094;0.085;;;Apr-12-2021;0.104;0.104;0.108;0.099
Apr-14-2021;0.087;0.094;0.095;0.084;;;Apr-09-2021;0.105;0.094;0.105;0.093
Apr-13-2021;0.104;0.109;0.111;0.100;;;Apr-08-2021;0.099;0.098;0.100;0.093
Apr-12-2021;0.104;0.104;0.108;0.099;;;Apr-07-2021;0.095;0.105;0.106;0.095
Apr-11-2021;0.103;0.101;0.103;0.101;;;Apr-06-2021;0.108;0.120;0.121;0.108
Apr-09-2021;0.105;0.094;0.105;0.093;;;Apr-05-2021;0.119;0.124;0.124;0.115
Apr-08-2021;0.099;0.098;0.100;0.093;;;Apr-02-2021;0.117;0.114;0.120;0.112
Apr-07-2021;0.095;0.105;0.106;0.095;;;Apr-01-2021;0.111;0.118;0.124;0.099
Apr-06-2021;0.108;0.120;0.121;0.108;;;Mar-31-2021;0.095;0.089;0.096;0.081
Apr-05-2021;0.119;0.124;0.124;0.115;;;Mar-30-2021;0.086;0.081;0.086;0.071
Apr-04-2021;0.116;0.120;0.120;0.116;;;Mar-29-2021;0.070;0.085;0.086;0.070
Apr-02-2021;0.117;0.114;0.120;0.112;;;Mar-26-2021;0.081;0.089;0.090;0.076
Apr-01-2021;0.111;0.118;0.124;0.099;;;Mar-25-2021;0.081;0.073;0.090;0.072
Mar-31-2021;0.095;0.089;0.096;0.081;;;Mar-24-2021;0.070;0.070;0.071;0.064
Mar-30-2021;0.086;0.081;0.086;0.071;;;Mar-23-2021;0.081;0.082;0.085;0.072
Mar-29-2021;0.070;0.085;0.086;0.070;;;Mar-22-2021;0.080;0.110;0.110;0.079
Mar-28-2021;0.082;0.081;0.082;0.081;;;Mar-19-2021;0.116;0.109;0.129;0.103
Mar-26-2021;0.081;0.089;0.090;0.076;;;Mar-18-2021;0.105;0.096;0.126;0.084
Mar-25-2021;0.081;0.073;0.090;0.072;;;Mar-17-2021;0.095;0.096;0.096;0.090
Mar-24-2021;0.070;0.070;0.071;0.064;;;Mar-16-2021;0.100;0.108;0.110;0.098
Mar-23-2021;0.081;0.082;0.085;0.072;;;Mar-15-2021;0.109;0.124;0.124;0.105
Mar-22-2021;0.080;0.110;0.110;0.079;;;Mar-12-2021;0.114;0.103;0.115;0.098
Mar-21-2021;0.094;0.105;0.105;0.094;;;Mar-11-2021;0.105;0.131;0.135;0.101
Mar-19-2021;0.116;0.109;0.129;0.103;;;Mar-10-2021;0.121;0.121;0.131;0.118
Mar-18-2021;0.105;0.096;0.126;0.084;;;Mar-09-2021;0.130;0.139;0.146;0.126
Mar-17-2021;0.095;0.096;0.096;0.090;;;Mar-08-2021;0.111;0.100;0.115;0.095
Mar-16-2021;0.100;0.108;0.110;0.098;;;Mar-05-2021;0.090;0.153;0.155;0.066
Mar-15-2021;0.109;0.124;0.124;0.105;;;Mar-04-2021;0.136;0.131;0.142;0.130
Mar-14-2021;0.115;0.119;0.119;0.115;;;Mar-03-2021;0.119;0.121;0.128;0.117
Mar-12-2021;0.114;0.103;0.115;0.098;;;Mar-02-2021;0.126;0.144;0.145;0.125
Mar-11-2021;0.105;0.131;0.135;0.101;;;Mar-01-2021;0.149;0.148;0.156;0.142
Mar-10-2021;0.121;0.121;0.131;0.118;;;Feb-26-2021;0.165;0.169;0.181;0.159
Mar-09-2021;0.130;0.139;0.146;0.126;;;Feb-25-2021;0.141;0.128;0.143;0.125
Mar-08-2021;0.111;0.100;0.115;0.095;;;Feb-24-2021;0.120;0.119;0.126;0.117
Mar-07-2021;0.094;0.092;0.094;0.092;;;Feb-22-2021;0.116;0.115;0.121;0.110
Mar-05-2021;0.090;0.153;0.155;0.066;;;Feb-19-2021;0.100;0.096;0.105;0.095
Mar-04-2021;0.136;0.131;0.142;0.130;;;Feb-18-2021;0.091;0.092;0.094;0.085
Mar-03-2021;0.119;0.121;0.128;0.117;;;Feb-17-2021;0.100;0.090;0.101;0.090
Mar-02-2021;0.126;0.144;0.145;0.125;;;Feb-16-2021;0.080;0.077;0.086;0.075
Mar-01-2021;0.149;0.148;0.156;0.142;;;Feb-15-2021;0.076;0.074;0.080;0.071
Feb-28-2021;0.140;0.145;0.145;0.140;;;Feb-12-2021;0.065;0.068;0.075;0.065
Feb-26-2021;0.165;0.169;0.181;0.159;;;Feb-10-2021;0.076;0.065;0.080;0.065
Feb-25-2021;0.141;0.128;0.143;0.125;;;Feb-09-2021;0.070;0.064;0.071;0.061
Feb-24-2021;0.120;0.119;0.126;0.117;;;Feb-08-2021;0.066;0.060;0.067;0.060
