Date;Close;Open;High;Low;;;Date;Close;Open;High;Low
Apr-30-2021;2.931;2.906;2.962;2.891;;;Apr-30-2021;2.931;2.906;2.962;2.891
Apr-29-2021;2.911;2.951;2.971;2.883;;;Apr-28-2021;2.925;2.873;2.936;2.868
Apr-28-2021;2.925;2.873;2.936;2.868;;;Apr-27-2021;2.873;2.786;2.876;2.783
Apr-27-2021;2.873;2.786;2.876;2.783;;;Apr-26-2021;2.790;2.710;2.800;2.700
Apr-26-2021;2.790;2.710;2.800;2.700;;;Apr-23-2021;2.730;2.747;2.764;2.720
Apr-23-2021;2.730;2.747;2.764;2.720;;;Apr-22-2021;2.749;2.696;2.779;2.657
Apr-22-2021;2.749;2.696;2.779;2.657;;;Apr-21-2021;2.692;2.724;2.725;2.666
Apr-21-2021;2.692;2.724;2.725;2.666;;;Apr-20-2021;2.727;2.741;2.759;2.719
Apr-20-2021;2.727;2.741;2.759;2.719;;;Apr-19-2021;2.749;2.707;2.753;2.694
Apr-19-2021;2.749;2.707;2.753;2.694;;;Apr-16-2021;2.680;2.663;2.700;2.658
Apr-16-2021;2.680;2.663;2.700;2.658;;;Apr-15-2021;2.658;2.617;2.685;2.583
Apr-15-2021;2.658;2.617;2.685;2.583;;;Apr-14-2021;2.618;2.620;2.666;2.609
Apr-14-2021;2.618;2.620;2.666;2.609;;;Apr-13-2021;2.619;2.554;2.638;2.529
Apr-13-2021;2.619;2.554;2.638;2.529;;;Apr-12-2021;2.561;2.530;2.605;2.530
Apr-12-2021;2.561;2.530;2.605;2.530;;;Apr-09-2021;2.526;2.520;2.552;2.503
Apr-09-2021;2.526;2.520;2.552;2.503;;;Apr-08-2021;2.522;2.510;2.535;2.478
Apr-08-2021;2.522;2.510;2.535;2.478;;;Apr-07-2021;2.520;2.464;2.546;2.458
Apr-07-2021;2.520;2.464;2.546;2.458;;;Apr-06-2021;2.456;2.511;2.568;2.453
Apr-06-2021;2.456;2.511;2.568;2.453;;;Apr-05-2021;2.511;2.593;2.616;2.488
Apr-05-2021;2.511;2.593;2.616;2.488;;;Apr-02-2021;#N/A;#N/A;#N/A;#N/A
Apr-01-2021;2.639;2.605;2.663;2.578;;;Apr-01-2021;2.639;2.605;2.663;2.578
Mar-31-2021;2.608;2.621;2.656;2.575;;;Mar-31-2021;2.608;2.621;2.656;2.575
Mar-30-2021;2.623;2.643;2.688;2.597;;;Mar-30-2021;2.623;2.643;2.688;2.597
Mar-29-2021;2.586;2.563;2.607;2.530;;;Mar-29-2021;2.586;2.563;2.607;2.530
Mar-26-2021;2.557;2.570;2.587;2.546;;;Mar-26-2021;2.557;2.570;2.587;2.546
Mar-25-2021;2.570;2.520;2.585;2.485;;;Mar-25-2021;2.570;2.520;2.585;2.485
Mar-24-2021;2.518;2.515;2.545;2.503;;;Mar-24-2021;2.518;2.515;2.545;2.503
Mar-23-2021;2.508;2.578;2.581;2.502;;;Mar-23-2021;2.508;2.578;2.581;2.502
Mar-22-2021;2.582;2.507;2.592;2.478;;;Mar-22-2021;2.582;2.507;2.592;2.478
Mar-19-2021;2.535;2.489;2.554;2.456;;;Mar-19-2021;2.535;2.489;2.554;2.456
Mar-18-2021;2.481;2.523;2.526;2.422;;;Mar-18-2021;2.481;2.523;2.526;2.422
Mar-17-2021;2.528;2.562;2.565;2.489;;;Mar-17-2021;2.528;2.562;2.565;2.489
Mar-16-2021;2.562;2.494;2.566;2.479;;;Mar-16-2021;2.562;2.494;2.566;2.479
Mar-15-2021;2.484;2.558;2.561;2.478;;;Mar-15-2021;2.484;2.558;2.561;2.478
Mar-12-2021;2.600;2.669;2.693;2.584;;;Mar-12-2021;2.600;2.669;2.693;2.584
Mar-11-2021;2.668;2.689;2.714;2.636;;;Mar-11-2021;2.668;2.689;2.714;2.636
Mar-10-2021;2.692;2.653;2.707;2.615;;;Mar-10-2021;2.692;2.653;2.707;2.615
Mar-09-2021;2.662;2.662;2.690;2.624;;;Mar-09-2021;2.662;2.662;2.690;2.624
Mar-08-2021;2.664;2.691;2.734;2.623;;;Mar-08-2021;2.664;2.691;2.734;2.623
Mar-05-2021;2.701;2.743;2.755;2.681;;;Mar-05-2021;2.701;2.743;2.755;2.681
Mar-04-2021;2.746;2.803;2.826;2.684;;;Mar-04-2021;2.746;2.803;2.826;2.684
Mar-03-2021;2.816;2.848;2.887;2.801;;;Mar-03-2021;2.816;2.848;2.887;2.801
Mar-02-2021;2.839;2.783;2.857;2.757;;;Mar-02-2021;2.839;2.783;2.857;2.757
Mar-01-2021;2.777;2.800;2.809;2.724;;;Mar-01-2021;2.777;2.800;2.809;2.724
Feb-26-2021;2.771;2.770;2.786;2.697;;;Feb-26-2021;2.771;2.770;2.786;2.697
Feb-25-2021;2.777;2.806;2.855;2.761;;;Feb-25-2021;2.777;2.806;2.855;2.761
Feb-24-2021;2.854;2.878;2.886;2.822;;;Feb-24-2021;2.854;2.878;2.886;2.822
Feb-23-2021;2.879;2.949;2.964;2.854;;;Feb-22-2021;2.953;3.010;3.030;2.889
Feb-22-2021;2.953;3.010;3.030;2.889;;;Feb-19-2021;3.069;3.067;3.148;2.991
Feb-19-2021;3.069;3.067;3.148;2.991;;;Feb-18-2021;3.082;3.267;3.298;3.041
Feb-18-2021;3.082;3.267;3.298;3.041;;;Feb-17-2021;3.219;3.098;3.316;3.049
Feb-17-2021;3.219;3.098;3.316;3.049;;;Feb-16-2021;3.129;3.046;3.214;2.976
Feb-16-2021;3.129;3.046;3.214;2.976;;;Feb-15-2021;3.067;3.034;3.094;2.978
Feb-15-2021;3.067;3.034;3.094;2.978;;;Feb-12-2021;2.912;2.870;2.987;2.834
Feb-14-2021;3.035;3.030;3.039;3.009;;;Feb-10-2021;2.911;2.819;2.982;2.741
Feb-12-2021;2.912;2.870;2.987;2.834;;;Feb-09-2021;2.835;2.883;2.927;2.788
Feb-11-2021;2.868;2.975;3.045;2.839;;;Feb-08-2021;2.882;2.909;2.985;2.844
