Date;Close;Open;High;Low;;;Date;Close;Open;High;Low;;
Apr-30-2021;1.626;1.645;1.659;1.620;;;Apr-30-2021;1.626;1.645;1.659;1.620;;
Apr-29-2021;1.641;1.615;1.690;1.615;;;Apr-28-2021;1.611;1.620;1.661;1.608;;
Apr-28-2021;1.611;1.620;1.661;1.608;;;Apr-27-2021;1.625;1.570;1.630;1.570;;
Apr-27-2021;1.625;1.570;1.630;1.570;;;Apr-26-2021;1.568;1.563;1.599;1.556;;
Apr-26-2021;1.568;1.563;1.599;1.556;;;Apr-23-2021;1.559;1.547;1.582;1.531;;
Apr-25-2021;1.563;1.563;1.563;1.563;;;Apr-22-2021;1.542;1.554;1.587;1.531;;
Apr-23-2021;1.559;1.547;1.582;1.531;;;Apr-21-2021;1.559;1.564;1.586;1.554;;
Apr-22-2021;1.542;1.554;1.587;1.531;;;Apr-20-2021;1.566;1.598;1.633;1.557;;
Apr-21-2021;1.559;1.564;1.586;1.554;;;Apr-19-2021;1.610;1.578;1.617;1.552;;
Apr-20-2021;1.566;1.598;1.633;1.557;;;Apr-16-2021;1.590;1.565;1.599;1.552;;e4337
Apr-19-2021;1.610;1.578;1.617;1.552;;;Apr-15-2021;1.574;1.641;1.646;1.528;;
Apr-18-2021;1.578;1.574;1.578;1.574;;;Apr-14-2021;1.634;1.615;1.650;1.611;;
Apr-16-2021;1.590;1.565;1.599;1.552;;;Apr-13-2021;1.620;1.676;1.703;1.616;;
Apr-15-2021;1.574;1.641;1.646;1.528;;;Apr-12-2021;1.669;1.674;1.685;1.644;;
Apr-14-2021;1.634;1.615;1.650;1.611;;;Apr-09-2021;1.662;1.633;1.687;1.621;;
Apr-13-2021;1.620;1.676;1.703;1.616;;;Apr-08-2021;1.626;1.669;1.674;1.617;;
Apr-12-2021;1.669;1.674;1.685;1.644;;;Apr-07-2021;1.679;1.663;1.679;1.628;;
Apr-11-2021;1.674;1.674;1.674;1.674;;;Apr-06-2021;1.658;1.700;1.716;1.653;;
Apr-09-2021;1.662;1.633;1.687;1.621;;;Apr-05-2021;1.707;1.705;1.745;1.700;;
Apr-08-2021;1.626;1.669;1.674;1.617;;;Apr-02-2021;1.673;1.670;1.729;1.667;;
Apr-07-2021;1.679;1.663;1.679;1.628;;;Apr-01-2021;1.673;1.737;1.753;1.672;;
Apr-06-2021;1.658;1.700;1.716;1.653;;;Mar-31-2021;1.744;1.717;1.753;1.708;;
Apr-05-2021;1.707;1.705;1.745;1.700;;;Mar-30-2021;1.710;1.713;1.776;1.706;;
Apr-04-2021;1.705;1.700;1.705;1.700;;;Mar-29-2021;1.717;1.672;1.728;1.635;;
Apr-02-2021;1.673;1.670;1.729;1.667;;;Mar-26-2021;1.674;1.626;1.681;1.619;;
Apr-01-2021;1.673;1.737;1.753;1.672;;;Mar-25-2021;1.633;1.612;1.642;1.591;;
Mar-31-2021;1.744;1.717;1.753;1.708;;;Mar-24-2021;1.614;1.615;1.651;1.589;;
Mar-30-2021;1.710;1.713;1.776;1.706;;;Mar-23-2021;1.622;1.682;1.702;1.615;;
Mar-29-2021;1.717;1.672;1.728;1.635;;;Mar-22-2021;1.695;1.707;1.709;1.663;;
Mar-28-2021;1.672;1.671;1.672;1.671;;;Mar-19-2021;1.730;1.710;1.750;1.671;;
Mar-26-2021;1.674;1.626;1.681;1.619;;;Mar-18-2021;1.706;1.660;1.754;1.629;;
Mar-25-2021;1.633;1.612;1.642;1.591;;;Mar-17-2021;1.646;1.621;1.689;1.616;;
Mar-24-2021;1.614;1.615;1.651;1.589;;;Mar-16-2021;1.621;1.602;1.628;1.585;;
Mar-23-2021;1.622;1.682;1.702;1.615;;;Mar-15-2021;1.607;1.637;1.639;1.595;;
Mar-22-2021;1.695;1.707;1.709;1.663;;;Mar-12-2021;1.625;1.541;1.642;1.532;;
Mar-21-2021;1.707;1.710;1.710;1.707;;;Mar-11-2021;1.535;1.521;1.547;1.475;;
Mar-19-2021;1.730;1.710;1.750;1.671;;;Mar-10-2021;1.521;1.525;1.566;1.506;;
Mar-18-2021;1.706;1.660;1.754;1.629;;;Mar-09-2021;1.528;1.589;1.594;1.523;;
Mar-17-2021;1.646;1.621;1.689;1.616;;;Mar-08-2021;1.603;1.597;1.613;1.575;;
Mar-16-2021;1.621;1.602;1.628;1.585;;;Mar-05-2021;1.577;1.566;1.625;1.535;;
Mar-15-2021;1.607;1.637;1.639;1.595;;;Mar-04-2021;1.557;1.486;1.569;1.450;;
Mar-14-2021;1.637;1.639;1.639;1.637;;;Mar-03-2021;1.484;1.402;1.498;1.398;;
Mar-12-2021;1.625;1.541;1.642;1.532;;;Mar-02-2021;1.398;1.424;1.453;1.390;;
Mar-11-2021;1.535;1.521;1.547;1.475;;;Mar-01-2021;1.426;1.395;1.460;1.383;;
Mar-10-2021;1.521;1.525;1.566;1.506;;;Feb-26-2021;1.407;1.529;1.558;1.381;;
Mar-09-2021;1.528;1.589;1.594;1.523;;;Feb-25-2021;1.530;1.379;1.614;1.374;;
Mar-08-2021;1.603;1.597;1.613;1.575;;;Feb-24-2021;1.372;1.343;1.435;1.330;;
Mar-07-2021;1.599;1.597;1.599;1.597;;;Feb-22-2021;1.369;1.363;1.394;1.326;;
Mar-05-2021;1.577;1.566;1.625;1.535;;;Feb-19-2021;1.340;1.292;1.363;1.282;;
Mar-04-2021;1.557;1.486;1.569;1.450;;;Feb-18-2021;1.297;1.274;1.318;1.258;;
Mar-03-2021;1.484;1.402;1.498;1.398;;;Feb-17-2021;1.282;1.329;1.333;1.269;;
Mar-02-2021;1.398;1.424;1.453;1.390;;;Feb-16-2021;1.311;1.250;1.317;1.223;;
Mar-01-2021;1.426;1.395;1.460;1.383;;;Feb-15-2021;1.250;1.250;1.250;1.250;;
Feb-28-2021;1.395;1.415;1.415;1.395;;;Feb-12-2021;1.210;1.163;1.213;1.150;;
Feb-26-2021;1.407;1.529;1.558;1.381;;;Feb-10-2021;1.124;1.164;1.176;1.122;;
Feb-25-2021;1.530;1.379;1.614;1.374;;;Feb-09-2021;1.160;1.164;1.172;1.140;;
Feb-24-2021;1.372;1.343;1.435;1.330;;;Feb-08-2021;1.176;1.172;1.200;1.150;;
Feb-23-2021;1.343;1.369;1.389;1.342;;;Feb-05-2021;1.169;1.138;1.188;1.129;;
Feb-22-2021;1.369;1.363;1.394;1.326;;;Feb-04-2021;1.136;1.143;1.162;1.131;;
Feb-21-2021;1.362;1.367;1.367;1.362;;;Feb-03-2021;1.139;1.108;1.141;1.105;;
Feb-19-2021;1.340;1.292;1.363;1.282;;;Feb-02-2021;1.095;1.083;1.118;1.074;;
Feb-18-2021;1.297;1.274;1.318;1.258;;;Feb-01-2021;1.079;1.071;1.089;1.060;;
Feb-17-2021;1.282;1.329;1.333;1.269;;;Jan-29-2021;1.071;1.048;1.105;1.042;;
Feb-16-2021;1.311;1.250;1.317;1.223;;;Jan-28-2021;1.052;1.023;1.072;0.996;;
Feb-15-2021;1.250;1.250;1.250;1.250;;;Jan-27-2021;1.013;1.040;1.050;1.001;;
Feb-12-2021;1.210;1.163;1.213;1.150;;;Jan-26-2021;1.033;1.043;1.053;1.028;;
Feb-11-2021;1.165;1.147;1.166;1.132;;;Jan-25-2021;1.033;1.096;1.103;1.030;;
