Date;Close;Open;High;Low;;;Date;Close;Open;High;Low
Apr-30-2021;0.8318;0.8253;0.8322;0.8246;;;Apr-30-2021;0.8318;0.8253;0.8322;0.8246
Apr-29-2021;0.8249;0.8246;0.8263;0.8230;;;Apr-28-2021;0.8246;0.8270;0.8295;0.8240
Apr-28-2021;0.8246;0.8270;0.8295;0.8240;;;Apr-27-2021;0.8269;0.8278;0.8295;0.8269
Apr-27-2021;0.8269;0.8278;0.8295;0.8269;;;Apr-26-2021;0.8276;0.8269;0.8292;0.8253
Apr-26-2021;0.8276;0.8269;0.8292;0.8253;;;Apr-23-2021;0.8264;0.8323;0.8325;0.8264
Apr-23-2021;0.8264;0.8323;0.8325;0.8264;;;Apr-22-2021;0.8322;0.8309;0.8339;0.8285
Apr-22-2021;0.8322;0.8309;0.8339;0.8285;;;Apr-21-2021;0.8308;0.8307;0.8335;0.8303
Apr-21-2021;0.8308;0.8307;0.8335;0.8303;;;Apr-20-2021;0.8308;0.8309;0.8318;0.8278
Apr-20-2021;0.8308;0.8309;0.8318;0.8278;;;Apr-19-2021;0.8308;0.8345;0.8374;0.8299
Apr-19-2021;0.8308;0.8345;0.8374;0.8299;;;Apr-16-2021;0.8342;0.8357;0.8368;0.8336
Apr-16-2021;0.8342;0.8357;0.8368;0.8336;;;Apr-15-2021;0.8355;0.8347;0.8364;0.8337
Apr-15-2021;0.8355;0.8347;0.8364;0.8337;;;Apr-14-2021;0.8346;0.8370;0.8371;0.8342
Apr-14-2021;0.8346;0.8370;0.8371;0.8342;;;Apr-13-2021;0.8368;0.8396;0.8419;0.8364
Apr-13-2021;0.8368;0.8396;0.8419;0.8364;;;Apr-12-2021;0.8394;0.8410;0.8424;0.8389
Apr-12-2021;0.8394;0.8410;0.8424;0.8389;;;Apr-09-2021;0.8400;0.8395;0.8427;0.8389
Apr-09-2021;0.8400;0.8395;0.8427;0.8389;;;Apr-08-2021;0.8393;0.8426;0.8431;0.8383
Apr-08-2021;0.8393;0.8426;0.8431;0.8383;;;Apr-07-2021;0.8422;0.8421;0.8431;0.8392
Apr-07-2021;0.8422;0.8421;0.8431;0.8392;;;Apr-06-2021;0.8419;0.8464;0.8478;0.8419
Apr-06-2021;0.8419;0.8464;0.8478;0.8419;;;Apr-05-2021;0.8464;0.8503;0.8520;0.8460
Apr-05-2021;0.8464;0.8503;0.8520;0.8460;;;Apr-02-2021;0.8499;0.8492;0.8512;0.8483
Apr-02-2021;0.8499;0.8492;0.8512;0.8483;;;Apr-01-2021;0.8490;0.8525;0.8538;0.8489
Apr-01-2021;0.8490;0.8525;0.8538;0.8489;;;Mar-31-2021;0.8524;0.8536;0.8544;0.8503
Mar-31-2021;0.8524;0.8536;0.8544;0.8503;;;Mar-30-2021;0.8534;0.8500;0.8539;0.8493
Mar-30-2021;0.8534;0.8500;0.8539;0.8493;;;Mar-29-2021;0.8499;0.8479;0.8503;0.8476
Mar-29-2021;0.8499;0.8479;0.8503;0.8476;;;Mar-26-2021;0.8478;0.8501;0.8501;0.8471
Mar-26-2021;0.8478;0.8501;0.8501;0.8471;;;Mar-25-2021;0.8500;0.8465;0.8502;0.8454
Mar-25-2021;0.8500;0.8465;0.8502;0.8454;;;Mar-24-2021;0.8465;0.8439;0.8468;0.8436
Mar-24-2021;0.8465;0.8439;0.8468;0.8436;;;Mar-23-2021;0.8437;0.8381;0.8445;0.8374
Mar-23-2021;0.8437;0.8381;0.8445;0.8374;;;Mar-22-2021;0.8377;0.8404;0.8424;0.8370
Mar-22-2021;0.8377;0.8404;0.8424;0.8370;;;Mar-19-2021;0.8400;0.8393;0.8422;0.8376
Mar-19-2021;0.8400;0.8393;0.8422;0.8376;;;Mar-18-2021;0.8392;0.8348;0.8399;0.8341
Mar-18-2021;0.8392;0.8348;0.8399;0.8341;;;Mar-17-2021;0.8347;0.8400;0.8414;0.8343
Mar-17-2021;0.8347;0.8400;0.8414;0.8343;;;Mar-16-2021;0.8401;0.8383;0.8416;0.8367
Mar-16-2021;0.8401;0.8383;0.8416;0.8367;;;Mar-15-2021;0.8381;0.8367;0.8396;0.8355
Mar-15-2021;0.8381;0.8367;0.8396;0.8355;;;Mar-12-2021;0.8364;0.8346;0.8397;0.8341
Mar-12-2021;0.8364;0.8346;0.8397;0.8341;;;Mar-11-2021;0.8342;0.8385;0.8392;0.8340
Mar-11-2021;0.8342;0.8385;0.8392;0.8340;;;Mar-10-2021;0.8383;0.8403;0.8426;0.8382
Mar-10-2021;0.8383;0.8403;0.8426;0.8382;;;Mar-09-2021;0.8402;0.8441;0.8450;0.8392
Mar-09-2021;0.8402;0.8441;0.8450;0.8392;;;Mar-08-2021;0.8441;0.8388;0.8443;0.8380
Mar-08-2021;0.8441;0.8388;0.8443;0.8380;;;Mar-05-2021;0.8390;0.8356;0.8408;0.8348
Mar-05-2021;0.8390;0.8356;0.8408;0.8348;;;Mar-04-2021;0.8354;0.8289;0.8360;0.8287
Mar-04-2021;0.8354;0.8289;0.8360;0.8287;;;Mar-03-2021;0.8288;0.8270;0.8304;0.8255
Mar-03-2021;0.8288;0.8270;0.8304;0.8255;;;Mar-02-2021;0.8269;0.8299;0.8339;0.8268
Mar-02-2021;0.8269;0.8299;0.8339;0.8268;;;Mar-01-2021;0.8298;0.8278;0.8314;0.8263
Mar-01-2021;0.8298;0.8278;0.8314;0.8263;;;Feb-26-2021;0.8280;0.8213;0.8291;0.8206
Feb-26-2021;0.8280;0.8213;0.8291;0.8206;;;Feb-25-2021;0.8211;0.8220;0.8227;0.8168
Feb-25-2021;0.8211;0.8220;0.8227;0.8168;;;Feb-24-2021;0.8220;0.8231;0.8259;0.8213
Feb-24-2021;0.8220;0.8231;0.8259;0.8213;;;Feb-22-2021;0.8225;0.8253;0.8271;0.8217
Feb-23-2021;0.8230;0.8227;0.8241;0.8210;;;Feb-19-2021;0.8250;0.8270;0.8277;0.8234
Feb-22-2021;0.8225;0.8253;0.8271;0.8217;;;Feb-18-2021;0.8270;0.8307;0.8309;0.8268
Feb-19-2021;0.8250;0.8270;0.8277;0.8234;;;Feb-17-2021;0.8306;0.8260;0.8318;0.8257
Feb-18-2021;0.8270;0.8307;0.8309;0.8268;;;Feb-16-2021;0.8258;0.8245;0.8268;0.8217
Feb-17-2021;0.8306;0.8260;0.8318;0.8257;;;Feb-15-2021;0.8243;0.8249;0.8253;0.8234
Feb-16-2021;0.8258;0.8245;0.8268;0.8217;;;Feb-12-2021;0.8249;0.8244;0.8278;0.8240
Feb-15-2021;0.8243;0.8249;0.8253;0.8234;;;Feb-10-2021;0.8251;0.8252;0.8259;0.8234
Feb-12-2021;0.8249;0.8244;0.8278;0.8240;;;Feb-09-2021;0.8250;0.8299;0.8303;0.8249
Feb-11-2021;0.8243;0.8253;0.8256;0.8231;;;Feb-08-2021;0.8299;0.8304;0.8321;0.8287
Feb-10-2021;0.8251;0.8252;0.8259;0.8234;;;Feb-05-2021;0.8302;0.8359;0.8367;0.8298
Feb-09-2021;0.8250;0.8299;0.8303;0.8249;;;Feb-04-2021;0.8359;0.8310;0.8364;0.8303
Feb-08-2021;0.8299;0.8304;0.8321;0.8287;;;Feb-03-2021;0.8310;0.8303;0.8332;0.8298
Feb-05-2021;0.8302;0.8359;0.8367;0.8298;;;Feb-02-2021;0.8302;0.8293;0.8326;0.8272
Feb-04-2021;0.8359;0.8310;0.8364;0.8303;;;Feb-01-2021;0.8291;0.8238;0.8296;0.8234
Feb-03-2021;0.8310;0.8303;0.8332;0.8298;;;Jan-29-2021;0.8239;0.8249;0.8270;0.8226
Feb-02-2021;0.8302;0.8293;0.8326;0.8272;;;Jan-28-2021;0.8247;0.8257;0.8278;0.8236
Feb-01-2021;0.8291;0.8238;0.8296;0.8234;;;Jan-27-2021;0.8256;0.8224;0.8294;0.8217
Jan-29-2021;0.8239;0.8249;0.8270;0.8226;;;Jan-26-2021;0.8222;0.8238;0.8259;0.8213
Jan-28-2021;0.8247;0.8257;0.8278;0.8236;;;Jan-25-2021;0.8237;0.8219;0.8254;0.8207
Jan-27-2021;0.8256;0.8224;0.8294;0.8217;;;Jan-22-2021;0.8218;0.8221;0.8230;0.8203
Jan-26-2021;0.8222;0.8238;0.8259;0.8213;;;Jan-21-2021;0.8220;0.8260;0.8263;0.8214
Jan-25-2021;0.8237;0.8219;0.8254;0.8207;;;Jan-20-2021;0.8259;0.8245;0.8281;0.8225
Jan-22-2021;0.8218;0.8221;0.8230;0.8203;;;Jan-19-2021;0.8244;0.8280;0.8283;0.8234
Jan-21-2021;0.8220;0.8260;0.8263;0.8214;;;Jan-18-2021;0.8278;0.8274;0.8296;0.8270
Jan-20-2021;0.8259;0.8245;0.8281;0.8225;;;Jan-15-2021;0.8277;0.8227;0.8282;0.8221
Jan-19-2021;0.8244;0.8280;0.8283;0.8234;;;Jan-14-2021;0.8224;0.8225;0.8257;0.8211
Jan-18-2021;0.8278;0.8274;0.8296;0.8270;;;Jan-13-2021;0.8225;0.8191;0.8238;0.8181
Jan-15-2021;0.8277;0.8227;0.8282;0.8221;;;Jan-12-2021;0.8191;0.8229;0.8240;0.8190
Jan-14-2021;0.8224;0.8225;0.8257;0.8211;;;Jan-08-2021;0.8183;0.8148;0.8202;0.8140
Jan-13-2021;0.8225;0.8191;0.8238;0.8181;;;Jan-07-2021;0.8147;0.8113;0.8167;0.8099
Jan-12-2021;0.8191;0.8229;0.8240;0.8190;;;Jan-06-2021;0.8111;0.8133;0.8153;0.8098
Jan-11-2021;0.8228;0.8185;0.8243;0.8178;;;Jan-05-2021;0.8130;0.8166;0.8166;0.8126
Jan-08-2021;0.8183;0.8148;0.8202;0.8140;;;Jan-04-2021;0.8162;0.8176;0.8181;0.8123
Jan-07-2021;0.8147;0.8113;0.8167;0.8099;;;Dec-30-2020;0.8131;0.8164;0.8166;0.8123
Jan-06-2021;0.8111;0.8133;0.8153;0.8098;;;Dec-29-2020;0.8163;0.8185;0.8192;0.8146
Jan-05-2021;0.8130;0.8166;0.8166;0.8126;;;Dec-28-2020;0.8184;0.8195;0.8210;0.8163
Jan-04-2021;0.8162;0.8176;0.8181;0.8123;;;Dec-25-2020;0.8191;0.8206;0.8220;0.8188
Jan-01-2021;0.8213;0.8235;0.8250;0.8183;;;Dec-24-2020;0.8205;0.8205;0.8213;0.8186
Dec-31-2020;0.8185;0.8131;0.8191;0.8123;;;Dec-23-2020;0.8204;0.8221;0.8228;0.8182
Dec-30-2020;0.8131;0.8164;0.8166;0.8123;;;Dec-22-2020;0.8220;0.8167;0.8229;0.8158
Dec-29-2020;0.8163;0.8185;0.8192;0.8146;;;Dec-21-2020;0.8167;0.8169;0.8244;0.8161
Dec-28-2020;0.8184;0.8195;0.8210;0.8163;;;Dec-18-2020;0.8157;0.8152;0.8180;0.8148
Dec-25-2020;0.8191;0.8206;0.8220;0.8188;;;Dec-17-2020;0.8150;0.8198;0.8203;0.8148
Dec-24-2020;0.8205;0.8205;0.8213;0.8186;;;Dec-16-2020;0.8196;0.8229;0.8248;0.8188
Dec-23-2020;0.8204;0.8221;0.8228;0.8182;;;Dec-15-2020;0.8227;0.8235;0.8250;0.8217
Dec-22-2020;0.8220;0.8167;0.8229;0.8158;;;Dec-14-2020;0.8233;0.8243;0.8254;0.8212
Dec-21-2020;0.8167;0.8169;0.8244;0.8161;;;Dec-11-2020;0.8254;0.8239;0.8261;0.8221
Dec-18-2020;0.8157;0.8152;0.8180;0.8148;;;Dec-10-2020;0.8237;0.8276;0.8282;0.8224
Dec-17-2020;0.8150;0.8198;0.8203;0.8148;;;Dec-09-2020;0.8276;0.8263;0.8293;0.8231
Dec-16-2020;0.8196;0.8229;0.8248;0.8188;;;Dec-08-2020;0.8261;0.8257;0.8268;0.8241
Dec-15-2020;0.8227;0.8235;0.8250;0.8217;;;Dec-07-2020;0.8257;0.8245;0.8280;0.8219
Dec-14-2020;0.8233;0.8243;0.8254;0.8212;;;Dec-04-2020;0.8248;0.8234;0.8257;0.8211
Dec-11-2020;0.8254;0.8239;0.8261;0.8221;;;Dec-03-2020;0.8234;0.8253;0.8264;0.8213
Dec-10-2020;0.8237;0.8276;0.8282;0.8224;;;Dec-02-2020;0.8253;0.8285;0.8306;0.8251
Dec-09-2020;0.8276;0.8263;0.8293;0.8231;;;Dec-01-2020;0.8284;0.8383;0.8385;0.8280
Dec-08-2020;0.8261;0.8257;0.8268;0.8241;;;Nov-30-2020;0.8381;0.8363;0.8387;0.8330
Dec-07-2020;0.8257;0.8245;0.8280;0.8219;;;Nov-27-2020;0.8358;0.8395;0.8399;0.8357
Dec-04-2020;0.8248;0.8234;0.8257;0.8211;;;Nov-26-2020;0.8392;0.8392;0.8414;0.8374
Dec-03-2020;0.8234;0.8253;0.8264;0.8213;;;Nov-25-2020;0.8392;0.8411;0.8417;0.8382
Dec-02-2020;0.8253;0.8285;0.8306;0.8251;;;Nov-24-2020;0.8408;0.8444;0.8449;0.8406
Dec-01-2020;0.8284;0.8383;0.8385;0.8280;;;Nov-20-2020;0.8434;0.8421;0.8439;0.8409
Nov-30-2020;0.8381;0.8363;0.8387;0.8330;;;Nov-19-2020;0.8420;0.8436;0.8463;0.8415
Nov-27-2020;0.8358;0.8395;0.8399;0.8357;;;Nov-18-2020;0.8435;0.8429;0.8440;0.8409
