Date;Close;Open;High;Low;;;Date;Close;Open;High;Low
Apr-30-2021;0.7237;0.7173;0.7246;0.7164;;;Apr-30-2021;0.7237;0.7173;0.7246;0.7164
Apr-29-2021;0.7172;0.7175;0.7178;0.7154;;;Apr-28-2021;0.7176;0.7186;0.7215;0.7168
Apr-28-2021;0.7176;0.7186;0.7215;0.7168;;;Apr-27-2021;0.7186;0.7196;0.7217;0.7182
Apr-27-2021;0.7186;0.7196;0.7217;0.7182;;;Apr-26-2021;0.7193;0.7208;0.7212;0.7179
Apr-26-2021;0.7193;0.7208;0.7212;0.7179;;;Apr-23-2021;0.7206;0.7226;0.7229;0.7196
Apr-23-2021;0.7206;0.7226;0.7229;0.7196;;;Apr-22-2021;0.7225;0.7178;0.7234;0.7168
Apr-22-2021;0.7225;0.7178;0.7234;0.7168;;;Apr-21-2021;0.7178;0.7175;0.7202;0.7168
Apr-21-2021;0.7178;0.7175;0.7202;0.7168;;;Apr-20-2021;0.7174;0.7150;0.7181;0.7138
Apr-20-2021;0.7174;0.7150;0.7181;0.7138;;;Apr-19-2021;0.7148;0.7232;0.7242;0.7146
Apr-19-2021;0.7148;0.7232;0.7242;0.7146;;;Apr-16-2021;0.7229;0.7255;0.7290;0.7223
Apr-16-2021;0.7229;0.7255;0.7290;0.7223;;;Apr-15-2021;0.7252;0.7256;0.7266;0.7242
Apr-15-2021;0.7252;0.7256;0.7266;0.7242;;;Apr-14-2021;0.7256;0.7273;0.7274;0.7242
Apr-14-2021;0.7256;0.7273;0.7274;0.7242;;;Apr-13-2021;0.7272;0.7278;0.7303;0.7262
Apr-13-2021;0.7272;0.7278;0.7303;0.7262;;;Apr-12-2021;0.7276;0.7294;0.7316;0.7258
Apr-12-2021;0.7276;0.7294;0.7316;0.7258;;;Apr-09-2021;0.7293;0.7281;0.7315;0.7272
Apr-09-2021;0.7293;0.7281;0.7315;0.7272;;;Apr-08-2021;0.7280;0.7280;0.7290;0.7255
Apr-08-2021;0.7280;0.7280;0.7290;0.7255;;;Apr-07-2021;0.7279;0.7233;0.7287;0.7225
